run_id,benchmark,arch,condition,seed_idx,global_seed,token_budget,dose_response_k,final_id_acc,final_ood_acc,escaped,status
data_aug_hbar_s28,hbar,transformer_2l,matched_data_augmentation,28,1183,20M,3.2,94.87,82.49,True,PASS
data_aug_hbar_s29,hbar,transformer_2l,matched_data_augmentation,29,1225,20M,3.2,95.01,81.83,True,PASS
data_aug_cogs_s0,cogs,transformer_2l,matched_data_augmentation,0,7,25M,3.2,91.74,77.1,False,PASS
data_aug_cogs_s1,cogs,transformer_2l,matched_data_augmentation,1,49,25M,3.2,89.83,88.0,True,PASS
data_aug_cogs_s2,cogs,transformer_2l,matched_data_augmentation,2,91,25M,3.2,90.52,76.07,False,PASS
data_aug_cogs_s3,cogs,transformer_2l,matched_data_augmentation,3,133,25M,3.2,90.15,87.56,True,PASS
data_aug_cogs_s4,cogs,transformer_2l,matched_data_augmentation,4,175,25M,3.2,89.96,83.86,True,PASS
data_aug_cogs_s5,cogs,transformer_2l,matched_data_augmentation,5,217,25M,3.2,91.91,78.22,False,PASS
data_aug_cogs_s6,cogs,transformer_2l,matched_data_augmentation,6,259,25M,3.2,90.5,80.76,True,PASS
data_aug_cogs_s7,cogs,transformer_2l,matched_data_augmentation,7,301,25M,3.2,89.97,82.19,True,PASS
data_aug_cogs_s8,cogs,transformer_2l,matched_data_augmentation,8,343,25M,3.2,90.53,80.46,True,PASS
data_aug_cogs_s9,cogs,transformer_2l,matched_data_augmentation,9,385,25M,3.2,90.75,75.12,False,PASS
data_aug_cogs_s10,cogs,transformer_2l,matched_data_augmentation,10,427,25M,3.2,91.63,81.38,True,PASS
data_aug_cogs_s11,cogs,transformer_2l,matched_data_augmentation,11,469,25M,3.2,88.84,77.45,False,PASS
data_aug_cogs_s12,cogs,transformer_2l,matched_data_augmentation,12,511,25M,3.2,90.88,79.51,False,PASS
data_aug_cogs_s13,cogs,transformer_2l,matched_data_augmentation,13,553,25M,3.2,90.71,82.74,True,PASS
data_aug_cogs_s14,cogs,transformer_2l,matched_data_augmentation,14,595,25M,3.2,91.42,82.44,True,PASS
data_aug_cogs_s15,cogs,transformer_2l,matched_data_augmentation,15,637,25M,3.2,91.77,81.24,True,PASS
data_aug_cogs_s16,cogs,transformer_2l,matched_data_augmentation,16,679,25M,3.2,91.14,86.65,True,PASS
data_aug_cogs_s17,cogs,transformer_2l,matched_data_augmentation,17,721,25M,3.2,91.36,83.66,True,PASS
data_aug_cogs_s18,cogs,transformer_2l,matched_data_augmentation,18,763,25M,3.2,91.02,78.61,False,PASS
data_aug_cogs_s19,cogs,transformer_2l,matched_data_augmentation,19,805,25M,3.2,90.42,80.99,True,PASS
data_aug_cogs_s20,cogs,transformer_2l,matched_data_augmentation,20,847,25M,3.2,90.93,82.29,True,PASS
data_aug_cogs_s21,cogs,transformer_2l,matched_data_augmentation,21,889,25M,3.2,88.88,79.77,False,PASS
data_aug_cogs_s22,cogs,transformer_2l,matched_data_augmentation,22,931,25M,3.2,91.31,82.27,True,PASS
data_aug_cogs_s23,cogs,transformer_2l,matched_data_augmentation,23,973,25M,3.2,91.83,79.16,False,PASS
data_aug_cogs_s24,cogs,transformer_2l,matched_data_augmentation,24,1015,25M,3.2,90.82,80.85,True,PASS
data_aug_cogs_s25,cogs,transformer_2l,matched_data_augmentation,25,1057,25M,3.2,91.53,82.08,True,PASS
data_aug_cogs_s26,cogs,transformer_2l,matched_data_augmentation,26,1099,25M,3.2,92.83,79.78,False,PASS
data_aug_cogs_s27,cogs,transformer_2l,matched_data_augmentation,27,1141,25M,3.2,92.18,78.9,False,PASS
data_aug_cogs_s28,cogs,transformer_2l,matched_data_augmentation,28,1183,25M,3.2,89.9,81.17,True,PASS
data_aug_cogs_s29,cogs,transformer_2l,matched_data_augmentation,29,1225,25M,3.2,89.66,77.46,False,PASS
