run_id,seed_idx,global_seed,benchmark,intervention_step,current_step,delta_step,lambda_pre,lambda_post,final_ood_acc,final_id_acc,recovered,status
late_onset_s4_t1200,4,175,hbar,1000,1200,200,0.0,0.05,96.19,93.57,True,PASS
late_onset_s4_t1250,4,175,hbar,1000,1250,250,0.0,0.05,98.46,94.44,True,PASS
late_onset_s5_t1000,5,217,hbar,1000,1000,0,0.0,0.05,35.97,93.78,False,PASS
late_onset_s5_t1050,5,217,hbar,1000,1050,50,0.0,0.05,49.69,94.16,False,PASS
late_onset_s5_t1100,5,217,hbar,1000,1100,100,0.0,0.05,84.45,94.3,True,PASS
late_onset_s5_t1150,5,217,hbar,1000,1150,150,0.0,0.05,87.54,94.54,True,PASS
late_onset_s5_t1200,5,217,hbar,1000,1200,200,0.0,0.05,96.0,94.08,True,PASS
late_onset_s5_t1250,5,217,hbar,1000,1250,250,0.0,0.05,98.89,93.36,True,PASS
late_onset_s6_t1000,6,259,hbar,1000,1000,0,0.0,0.05,41.96,94.34,False,PASS
late_onset_s6_t1050,6,259,hbar,1000,1050,50,0.0,0.05,54.28,94.38,False,PASS
late_onset_s6_t1100,6,259,hbar,1000,1100,100,0.0,0.05,72.22,93.53,False,PASS
late_onset_s6_t1150,6,259,hbar,1000,1150,150,0.0,0.05,91.39,93.52,True,PASS
late_onset_s6_t1200,6,259,hbar,1000,1200,200,0.0,0.05,96.61,94.28,True,PASS
late_onset_s6_t1250,6,259,hbar,1000,1250,250,0.0,0.05,98.42,94.45,True,PASS
late_onset_s7_t1000,7,301,hbar,1000,1000,0,0.0,0.05,39.02,93.29,False,PASS
late_onset_s7_t1050,7,301,hbar,1000,1050,50,0.0,0.05,48.07,93.59,False,PASS
late_onset_s7_t1100,7,301,hbar,1000,1100,100,0.0,0.05,76.43,93.22,False,PASS
late_onset_s7_t1150,7,301,hbar,1000,1150,150,0.0,0.05,89.85,93.86,True,PASS
late_onset_s7_t1200,7,301,hbar,1000,1200,200,0.0,0.05,96.14,93.71,True,PASS
late_onset_s7_t1250,7,301,hbar,1000,1250,250,0.0,0.05,98.31,92.34,True,PASS
late_onset_s8_t1000,8,343,hbar,1000,1000,0,0.0,0.05,39.12,94.56,False,PASS
late_onset_s8_t1050,8,343,hbar,1000,1050,50,0.0,0.05,53.36,95.04,False,PASS
late_onset_s8_t1100,8,343,hbar,1000,1100,100,0.0,0.05,72.09,94.23,False,PASS
late_onset_s8_t1150,8,343,hbar,1000,1150,150,0.0,0.05,88.22,93.93,True,PASS
late_onset_s8_t1200,8,343,hbar,1000,1200,200,0.0,0.05,96.41,93.47,True,PASS
late_onset_s8_t1250,8,343,hbar,1000,1250,250,0.0,0.05,98.48,94.65,True,PASS
late_onset_s9_t1000,9,385,hbar,1000,1000,0,0.0,0.05,39.4,94.44,False,PASS
late_onset_s9_t1050,9,385,hbar,1000,1050,50,0.0,0.05,55.15,94.73,False,PASS
late_onset_s9_t1100,9,385,hbar,1000,1100,100,0.0,0.05,72.86,93.88,False,PASS
late_onset_s9_t1150,9,385,hbar,1000,1150,150,0.0,0.05,88.91,94.24,True,PASS
late_onset_s9_t1200,9,385,hbar,1000,1200,200,0.0,0.05,97.19,94.49,True,PASS
late_onset_s9_t1250,9,385,hbar,1000,1250,250,0.0,0.05,98.23,93.53,True,PASS
late_onset_s10_t1000,10,427,hbar,1000,1000,0,0.0,0.05,39.0,92.8,False,PASS
late_onset_s10_t1050,10,427,hbar,1000,1050,50,0.0,0.05,56.02,94.35,False,PASS
late_onset_s10_t1100,10,427,hbar,1000,1100,100,0.0,0.05,66.74,93.71,False,PASS
late_onset_s10_t1150,10,427,hbar,1000,1150,150,0.0,0.05,91.02,94.27,True,PASS
late_onset_s10_t1200,10,427,hbar,1000,1200,200,0.0,0.05,96.43,93.91,True,PASS
late_onset_s10_t1250,10,427,hbar,1000,1250,250,0.0,0.05,97.9,94.36,True,PASS
late_onset_s11_t1000,11,469,hbar,1000,1000,0,0.0,0.05,38.39,94.6,False,PASS
late_onset_s11_t1050,11,469,hbar,1000,1050,50,0.0,0.05,57.66,94.75,False,PASS
late_onset_s11_t1100,11,469,hbar,1000,1100,100,0.0,0.05,80.19,94.38,True,PASS
late_onset_s11_t1150,11,469,hbar,1000,1150,150,0.0,0.05,87.56,93.51,True,PASS
late_onset_s11_t1200,11,469,hbar,1000,1200,200,0.0,0.05,95.84,94.4,True,PASS
late_onset_s11_t1250,11,469,hbar,1000,1250,250,0.0,0.05,98.47,93.61,True,PASS
late_onset_s12_t1000,12,511,hbar,1000,1000,0,0.0,0.05,37.07,93.77,False,PASS
late_onset_s12_t1050,12,511,hbar,1000,1050,50,0.0,0.05,54.63,94.05,False,PASS
late_onset_s12_t1100,12,511,hbar,1000,1100,100,0.0,0.05,70.81,93.88,False,PASS
late_onset_s12_t1150,12,511,hbar,1000,1150,150,0.0,0.05,93.42,94.14,True,PASS
late_onset_s12_t1200,12,511,hbar,1000,1200,200,0.0,0.05,97.05,93.81,True,PASS
late_onset_s12_t1250,12,511,hbar,1000,1250,250,0.0,0.05,98.88,93.68,True,PASS
late_onset_s13_t1000,13,553,hbar,1000,1000,0,0.0,0.05,34.81,94.06,False,PASS
late_onset_s13_t1050,13,553,hbar,1000,1050,50,0.0,0.05,51.18,94.56,False,PASS
late_onset_s13_t1100,13,553,hbar,1000,1100,100,0.0,0.05,78.68,95.43,False,PASS
late_onset_s13_t1150,13,553,hbar,1000,1150,150,0.0,0.05,88.01,93.81,True,PASS
late_onset_s13_t1200,13,553,hbar,1000,1200,200,0.0,0.05,97.35,94.66,True,PASS
late_onset_s13_t1250,13,553,hbar,1000,1250,250,0.0,0.05,98.24,94.49,True,PASS
late_onset_s14_t1000,14,595,hbar,1000,1000,0,0.0,0.05,40.05,94.66,False,PASS
late_onset_s14_t1050,14,595,hbar,1000,1050,50,0.0,0.05,50.17,93.4,False,PASS
late_onset_s14_t1100,14,595,hbar,1000,1100,100,0.0,0.05,77.12,93.82,False,PASS
late_onset_s14_t1150,14,595,hbar,1000,1150,150,0.0,0.05,94.26,93.24,True,PASS
late_onset_s14_t1200,14,595,hbar,1000,1200,200,0.0,0.05,97.0,93.7,True,PASS
late_onset_s14_t1250,14,595,hbar,1000,1250,250,0.0,0.05,98.74,93.8,True,PASS
late_onset_s15_t1000,15,637,hbar,1000,1000,0,0.0,0.05,37.75,93.67,False,PASS
late_onset_s15_t1050,15,637,hbar,1000,1050,50,0.0,0.05,56.88,94.15,False,PASS
late_onset_s15_t1100,15,637,hbar,1000,1100,100,0.0,0.05,77.14,94.24,False,PASS
late_onset_s15_t1150,15,637,hbar,1000,1150,150,0.0,0.05,85.76,93.8,True,PASS
late_onset_s15_t1200,15,637,hbar,1000,1200,200,0.0,0.05,96.56,94.58,True,PASS
late_onset_s15_t1250,15,637,hbar,1000,1250,250,0.0,0.05,98.03,94.63,True,PASS
late_onset_s16_t1000,16,679,hbar,1000,1000,0,0.0,0.05,40.78,94.05,False,PASS
late_onset_s16_t1050,16,679,hbar,1000,1050,50,0.0,0.05,57.8,93.89,False,PASS
late_onset_s16_t1100,16,679,hbar,1000,1100,100,0.0,0.05,76.11,94.23,False,PASS
late_onset_s16_t1150,16,679,hbar,1000,1150,150,0.0,0.05,92.52,93.64,True,PASS
late_onset_s16_t1200,16,679,hbar,1000,1200,200,0.0,0.05,96.26,94.01,True,PASS
late_onset_s16_t1250,16,679,hbar,1000,1250,250,0.0,0.05,97.55,95.05,True,PASS
late_onset_s17_t1000,17,721,hbar,1000,1000,0,0.0,0.05,41.79,94.8,False,PASS
late_onset_s17_t1050,17,721,hbar,1000,1050,50,0.0,0.05,52.36,93.73,False,PASS
late_onset_s17_t1100,17,721,hbar,1000,1100,100,0.0,0.05,75.55,94.39,False,PASS
late_onset_s17_t1150,17,721,hbar,1000,1150,150,0.0,0.05,89.98,94.41,True,PASS
late_onset_s17_t1200,17,721,hbar,1000,1200,200,0.0,0.05,94.98,93.23,True,PASS
late_onset_s17_t1250,17,721,hbar,1000,1250,250,0.0,0.05,98.52,94.46,True,PASS
late_onset_s18_t1000,18,763,hbar,1000,1000,0,0.0,0.05,36.82,94.72,False,PASS
late_onset_s18_t1050,18,763,hbar,1000,1050,50,0.0,0.05,55.14,94.05,False,PASS
late_onset_s18_t1100,18,763,hbar,1000,1100,100,0.0,0.05,75.86,94.67,False,PASS
late_onset_s18_t1150,18,763,hbar,1000,1150,150,0.0,0.05,89.63,94.28,True,PASS
late_onset_s18_t1200,18,763,hbar,1000,1200,200,0.0,0.05,96.61,94.33,True,PASS
late_onset_s18_t1250,18,763,hbar,1000,1250,250,0.0,0.05,98.24,93.22,True,PASS
late_onset_s19_t1000,19,805,hbar,1000,1000,0,0.0,0.05,37.46,93.91,False,PASS
late_onset_s19_t1050,19,805,hbar,1000,1050,50,0.0,0.05,51.73,94.06,False,PASS
late_onset_s19_t1100,19,805,hbar,1000,1100,100,0.0,0.05,76.75,93.92,False,PASS
late_onset_s19_t1150,19,805,hbar,1000,1150,150,0.0,0.05,85.39,94.63,True,PASS
late_onset_s19_t1200,19,805,hbar,1000,1200,200,0.0,0.05,94.23,95.04,True,PASS
late_onset_s19_t1250,19,805,hbar,1000,1250,250,0.0,0.05,98.71,94.15,True,PASS
late_onset_s20_t1000,20,847,hbar,1000,1000,0,0.0,0.05,39.69,93.94,False,PASS
late_onset_s20_t1050,20,847,hbar,1000,1050,50,0.0,0.05,56.8,94.03,False,PASS
late_onset_s20_t1100,20,847,hbar,1000,1100,100,0.0,0.05,75.38,93.86,False,PASS
late_onset_s20_t1150,20,847,hbar,1000,1150,150,0.0,0.05,90.03,94.0,True,PASS
late_onset_s20_t1200,20,847,hbar,1000,1200,200,0.0,0.05,94.91,94.43,True,PASS
late_onset_s20_t1250,20,847,hbar,1000,1250,250,0.0,0.05,98.66,94.66,True,PASS
late_onset_s21_t1000,21,889,hbar,1000,1000,0,0.0,0.05,34.72,94.5,False,PASS
late_onset_s21_t1050,21,889,hbar,1000,1050,50,0.0,0.05,50.22,93.82,False,PASS
late_onset_s21_t1100,21,889,hbar,1000,1100,100,0.0,0.05,69.93,94.93,False,PASS
late_onset_s21_t1150,21,889,hbar,1000,1150,150,0.0,0.05,80.91,93.93,True,PASS
late_onset_s21_t1200,21,889,hbar,1000,1200,200,0.0,0.05,95.87,94.36,True,PASS
late_onset_s21_t1250,21,889,hbar,1000,1250,250,0.0,0.05,98.75,94.15,True,PASS
late_onset_s22_t1000,22,931,hbar,1000,1000,0,0.0,0.05,37.66,93.78,False,PASS
late_onset_s22_t1050,22,931,hbar,1000,1050,50,0.0,0.05,50.56,94.02,False,PASS
late_onset_s22_t1100,22,931,hbar,1000,1100,100,0.0,0.05,71.13,93.64,False,PASS
late_onset_s22_t1150,22,931,hbar,1000,1150,150,0.0,0.05,89.64,94.71,True,PASS
late_onset_s22_t1200,22,931,hbar,1000,1200,200,0.0,0.05,96.21,93.69,True,PASS
late_onset_s22_t1250,22,931,hbar,1000,1250,250,0.0,0.05,98.36,93.97,True,PASS
late_onset_s23_t1000,23,973,hbar,1000,1000,0,0.0,0.05,38.7,93.94,False,PASS
late_onset_s23_t1050,23,973,hbar,1000,1050,50,0.0,0.05,59.57,93.57,False,PASS
late_onset_s23_t1100,23,973,hbar,1000,1100,100,0.0,0.05,82.06,93.89,True,PASS
late_onset_s23_t1150,23,973,hbar,1000,1150,150,0.0,0.05,93.42,93.57,True,PASS
late_onset_s23_t1200,23,973,hbar,1000,1200,200,0.0,0.05,97.78,93.74,True,PASS
late_onset_s23_t1250,23,973,hbar,1000,1250,250,0.0,0.05,98.02,92.99,True,PASS
late_onset_s24_t1000,24,1015,hbar,1000,1000,0,0.0,0.05,35.43,93.67,False,PASS
late_onset_s24_t1050,24,1015,hbar,1000,1050,50,0.0,0.05,55.09,94.66,False,PASS
late_onset_s24_t1100,24,1015,hbar,1000,1100,100,0.0,0.05,75.62,94.17,False,PASS
late_onset_s24_t1150,24,1015,hbar,1000,1150,150,0.0,0.05,90.0,93.02,True,PASS
late_onset_s24_t1200,24,1015,hbar,1000,1200,200,0.0,0.05,95.1,93.78,True,PASS
late_onset_s24_t1250,24,1015,hbar,1000,1250,250,0.0,0.05,98.41,93.78,True,PASS
late_onset_s25_t1000,25,1057,hbar,1000,1000,0,0.0,0.05,38.71,93.16,False,PASS
late_onset_s25_t1050,25,1057,hbar,1000,1050,50,0.0,0.05,49.68,93.63,False,PASS
late_onset_s25_t1100,25,1057,hbar,1000,1100,100,0.0,0.05,76.73,93.54,False,PASS
late_onset_s25_t1150,25,1057,hbar,1000,1150,150,0.0,0.05,87.49,94.4,True,PASS
late_onset_s25_t1200,25,1057,hbar,1000,1200,200,0.0,0.05,96.34,93.79,True,PASS
late_onset_s25_t1250,25,1057,hbar,1000,1250,250,0.0,0.05,98.38,94.13,True,PASS
late_onset_s26_t1000,26,1099,hbar,1000,1000,0,0.0,0.05,35.81,93.83,False,PASS
late_onset_s26_t1050,26,1099,hbar,1000,1050,50,0.0,0.05,49.86,94.47,False,PASS
late_onset_s26_t1100,26,1099,hbar,1000,1100,100,0.0,0.05,71.03,93.46,False,PASS
late_onset_s26_t1150,26,1099,hbar,1000,1150,150,0.0,0.05,87.56,94.75,True,PASS
late_onset_s26_t1200,26,1099,hbar,1000,1200,200,0.0,0.05,96.55,94.03,True,PASS
late_onset_s26_t1250,26,1099,hbar,1000,1250,250,0.0,0.05,98.39,93.65,True,PASS
late_onset_s27_t1000,27,1141,hbar,1000,1000,0,0.0,0.05,35.87,93.62,False,PASS
late_onset_s27_t1050,27,1141,hbar,1000,1050,50,0.0,0.05,48.13,93.89,False,PASS
late_onset_s27_t1100,27,1141,hbar,1000,1100,100,0.0,0.05,68.86,94.2,False,PASS
late_onset_s27_t1150,27,1141,hbar,1000,1150,150,0.0,0.05,91.78,94.29,True,PASS
late_onset_s27_t1200,27,1141,hbar,1000,1200,200,0.0,0.05,96.19,93.94,True,PASS
late_onset_s27_t1250,27,1141,hbar,1000,1250,250,0.0,0.05,98.09,93.73,True,PASS
late_onset_s28_t1000,28,1183,hbar,1000,1000,0,0.0,0.05,37.21,93.44,False,PASS
late_onset_s28_t1050,28,1183,hbar,1000,1050,50,0.0,0.05,56.16,94.12,False,PASS
late_onset_s28_t1100,28,1183,hbar,1000,1100,100,0.0,0.05,76.22,94.43,False,PASS
late_onset_s28_t1150,28,1183,hbar,1000,1150,150,0.0,0.05,86.07,93.91,True,PASS
late_onset_s28_t1200,28,1183,hbar,1000,1200,200,0.0,0.05,95.72,93.6,True,PASS
late_onset_s28_t1250,28,1183,hbar,1000,1250,250,0.0,0.05,99.09,92.85,True,PASS
late_onset_s29_t1000,29,1225,hbar,1000,1000,0,0.0,0.05,37.31,93.56,False,PASS
late_onset_s29_t1050,29,1225,hbar,1000,1050,50,0.0,0.05,50.78,94.68,False,PASS
late_onset_s29_t1100,29,1225,hbar,1000,1100,100,0.0,0.05,78.49,93.41,False,PASS
late_onset_s29_t1150,29,1225,hbar,1000,1150,150,0.0,0.05,90.37,94.5,True,PASS
late_onset_s29_t1200,29,1225,hbar,1000,1200,200,0.0,0.05,96.38,94.78,True,PASS
late_onset_s29_t1250,29,1225,hbar,1000,1250,250,0.0,0.05,98.4,94.81,True,PASS
