id,title,year,reason,note
P02_0200,Handling Dual Skewness in Citywide Crime Prediction Using Personalized Graph Federated Learning,2025,FT5,full text unavailable after 3 attempts
P02_0238,Three approaches to facilitate invariant neurons and generalization to out-of-distribution orientations and illuminations,2022,FT5,full text unavailable after 3 attempts
P02_0280,SSGNN: Simple siamese graph neural networks for out-of-distribution generalization,2025,FT5,full text unavailable after 3 attempts
P02_0290,Boosting Rice Disease Diagnosis: A Systematic Benchmark of Five Deep Convolutional Neural Network Models in Precision Agriculture,2025,FT5,full text unavailable after 3 attempts
P02_0322,A two-stage co-adversarial perturbation to mitigate out-of-distribution generalization of large-scale graph,2024,FT5,full text unavailable after 3 attempts
P02_0380,A Physics-Guided Symbolic Regression Framework for Multi-Resolution Dynamic Equivalent Modeling of Power Systems,2026,FT5,full text unavailable after 3 attempts
P02_0386,Rethinking Graph Generalization through the Lens of Sharpness-Aware Minimization,2026,FT5,full text unavailable after 3 attempts
P02_0410,Invariant Graph Transformer for Out-of-Distribution Generalization,2026,FT5,full text unavailable after 3 attempts
P02_0442,Producing plankton classifiers that are robust to dataset shift,2025,FT5,full text unavailable after 3 attempts
P02_0444,Improving Generalization in Collision Avoidance for Multiple Unmanned Aerial Vehicles via Causal Representation Learning †,2025,FT5,full text unavailable after 3 attempts
P02_0493,Coupled data-driven and experience-informed neural networks for prediction of pile base resistance with consideration of data limitation,2026,FT5,full text unavailable after 3 attempts
P02_0495,MiMu: mitigating multiple shortcut learning behavior of transformers,2025,FT5,full text unavailable after 3 attempts
P02_0500,Accurate Classification of Pathological Whole-Slide Images for Out-of-Distribution Generalization,2025,FT5,full text unavailable after 3 attempts
P02_0503,A Structure-aware Invariant Learning Framework for Node-level Graph OOD Generalization,2025,FT5,full text unavailable after 3 attempts
P02_0511,PTAN: Principal Token-aware Adjacent Network for Compositional Temporal Grounding,2024,FT5,full text unavailable after 3 attempts
P02_0514,Towards Domain-Aware Stable Meta Learning for Out-of-Distribution Generalization,2024,FT5,full text unavailable after 3 attempts
P02_0517,A Cascade Registration Method Based on Transformation Transfer for Multiscale Point Clouds,2026,FT5,full text unavailable after 3 attempts
P02_0522,Avoiding Shortcuts: Enhancing Channel-Robust Specific Emitter Identification via Single-Source Domain Generalization,2025,FT5,full text unavailable after 3 attempts
P02_0556,Spectral Distribution Alignment for Enhanced Generalization in Regression,2025,FT5,full text unavailable after 3 attempts
P02_0576,Improving Group Robustness on Spurious Correlation via Evidential Alignment,2025,FT5,full text unavailable after 3 attempts
P02_0663,A Class of Distributions for Linear Demand Markets,2018,FT1,s1=Exclude s2=Exclude
P02_0665,NCHO: Unsupervised Learning for Neural 3D Composition of Humans and Objects,2023,FT8,conflict: default Include (6.3.3); flagged | adj: 'Composition' of 3D human parts — object-part composition | adj: 'Composition' of 3D human parts — object-part composition
P02_0713,"Easy to Learn, Yet Hard to Forget: Towards Robust Unlearning Under Bias",2026,FT1,s1=Exclude s2=Exclude
P02_0746,"Vision-Language-Action in Robotics: A Survey of Datasets, Benchmarks, and Data Engines",2026,FT7,conflict: default Include (6.3.3); flagged | adj: Title is 'A Survey of Datasets | adj: Title is 'A Survey of Datasets
P02_0781,Thermodynamically-Informed Iterative Neural Operators for Heterogeneous Elastic Localization,2024,FT1,conflict: default Include (6.3.3); flagged | adj: PDE neural operator; non-compositional OOD / covariate shift (E8 precedent) | adj: PDE neural operator; non-compositional OOD / covariate shift (E8 precedent)
P02_0886,Measuring and Improving Compositional Generalization in Text-to-SQL via Component Alignment,2022,FT6,s1=Include s2=Include | FT6-dup-candidate | adj: Duplicate of P02_0497 (arXiv 2205.02054v1 = NAACL Findings 2022 version) | adj: Duplicate of P02_0497 (arXiv 2205.02054v1 = NAACL Findings 2022 version)
P02_0923,LAGr: Label Aligned Graphs for Better Systematic Generalization in Semantic Parsing,2022,FT5,full text unavailable after 3 attempts
P02_0944,ORCHARD: A Benchmark For Measuring Systematic Generalization of Multi-Hierarchical Reasoning,2021,FT5,full text unavailable after 3 attempts
P02_0985,Point-SRA: Self-Representation Alignment for 3D Representation Learning,2026,FT1,s1=Exclude s2=Exclude
P02_1078,Adversarial Image Alignment and Interpolation,2017,FT1,s1=Exclude s2=Exclude
P02_1122,A model to assess customer alignment through customer experience concepts,2019,FT1,s1=Exclude s2=Exclude
P02_1128,Intelligent Angle Map-based Beam Alignment for RIS-aided mmWave Communication Networks,2024,FT1,s1=Exclude s2=Exclude
P02_1141,Deep Unfolding Network with Spatial Alignment for multi-modal MRI reconstruction,2023,FT1,s1=Exclude s2=Exclude
P02_1144,Aleena: Alignment Agent for Research Software Engineering Collaborations,2026,FT1,s1=Exclude s2=Exclude
P02_1172,Learning to optimize: a primer and a benchmark,2022,FT5,full text unavailable after 3 attempts
P02_1173,Proceedings of the 2025 International Conference on Multimedia Retrieval,2025,FT5,full text unavailable after 3 attempts
P02_1175,Proceedings of the 2024 International Conference on Multimedia Retrieval,2024,FT5,full text unavailable after 3 attempts
P02_1176,Proceedings of the 2026 ACM Workshop on Information Hiding and Multimedia Security,2026,FT5,full text unavailable after 3 attempts
P02_1177,"Proceedings of the 2026 5th International Conference on Networks, Communications and Information Technology",2026,FT5,full text unavailable after 3 attempts
P02_1178,"Proceedings of the 17th ACM International Conference on Bioinformatics, Computational Biology and Health Informatics",2026,FT5,full text unavailable after 3 attempts
P02_1179,"Proceedings of the 13th ACM International Conference on Systems for Energy-Efficient Buildings, Cities, and Transportation",2026,FT5,full text unavailable after 3 attempts
P02_1180,Proceedings of the 2024 2nd International Conference on Internet of Things and Cloud Computing Technology,2024,FT5,full text unavailable after 3 attempts
P02_1181,"Proceedings of the 2026 5th International Conference on Big Data, Information and Computer Network",2026,FT5,full text unavailable after 3 attempts
P02_1182,Proceedings of the 2025 6th International Conference on Computer Science and Management Technology,2025,FT5,full text unavailable after 3 attempts
P02_1183,"Proceedings of the 2022 5th International Conference on Algorithms, Computing and Artificial Intelligence",2022,FT5,full text unavailable after 3 attempts
P02_1184,"Proceedings of the 5th International Conference on Computer, Artificial Intelligence and Control Engineering",2026,FT5,full text unavailable after 3 attempts
P02_1185,Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2,2025,FT5,full text unavailable after 3 attempts
P02_1186,"Proceedings of the 2026 5th International Conference on Cryptography, Network Security and Communication Technology",2026,FT5,full text unavailable after 3 attempts
P02_1187,Proceedings of the 7th ACM International Conference on Multimedia in Asia,2025,FT5,full text unavailable after 3 attempts
P02_1188,Proceedings of the Third International Conference on AI-ML Systems,2023,FT5,full text unavailable after 3 attempts
P02_1189,Proceedings of the 22nd ACM SIGGRAPH European Conference on Visual Media Production,2025,FT5,full text unavailable after 3 attempts
P02_1190,Proceedings of the 12th International Symposium on Information and Communication Technology,2023,FT5,full text unavailable after 3 attempts
P02_1191,Proceedings of the 2025 11th International Conference on Communication and Information Processing,2025,FT5,full text unavailable after 3 attempts
P02_1192,Proceedings of the 32nd ACM International Conference on Multimedia,2024,FT5,full text unavailable after 3 attempts
P02_1193,Proceedings of the 2024 International Conference on Generative Artificial Intelligence and Information Security,2024,FT5,full text unavailable after 3 attempts
P02_1194,Proceedings of the 2025 6th International Conference on Big Data Economy and Information Management,2025,FT5,full text unavailable after 3 attempts
P02_1195,Proceedings of the 2023 15th International Conference on Machine Learning and Computing,2023,FT5,full text unavailable after 3 attempts
P02_1196,Proceedings of the 2026 ACM Sustainability Week,2026,FT5,full text unavailable after 3 attempts
P02_1197,Proceedings of the 6th Joint International Conference on Data Science &amp; Management of Data (10th ACM IKDD CODS and 28th COMAD),2023,FT5,full text unavailable after 3 attempts
P02_1198,"Proceedings of the 2025 2nd International Conference on Image Processing, Intelligent Control and Computer Engineering",2025,FT5,full text unavailable after 3 attempts
P02_1199,Proceedings of the 2024 8th International Conference on Natural Language Processing and Information Retrieval,2024,FT5,full text unavailable after 3 attempts
P02_1200,Proceedings of the 2026 ACM/IEEE International Conference on Embedded Artificial Intelligence and Sensing Systems,2026,FT5,full text unavailable after 3 attempts
P02_1201,Proceedings of the 2024 16th International Conference on Machine Learning and Computing,2024,FT5,full text unavailable after 3 attempts
P02_1202,Proceedings of the Fourth ACM International Conference on AI in Finance,2023,FT5,full text unavailable after 3 attempts
P02_1203,Proceedings of the 2024 5th International Conference on Computer Science and Management Technology,2024,FT5,full text unavailable after 3 attempts
P02_1204,Proceedings of the 47th International ACM SIGIR Conference on Research and Development in Information Retrieval,2024,FT5,full text unavailable after 3 attempts
P02_1205,Proceedings of the ACM on Web Conference 2025,2025,FT5,full text unavailable after 3 attempts
P02_1206,Proceedings of the 2026 2nd International Conference on Digital Education and Information Technology,2026,FT5,full text unavailable after 3 attempts
P02_1207,Proceedings of the 31st ACM International Conference on Advances in Geographic Information Systems,2023,FT5,full text unavailable after 3 attempts
P02_1208,Proceedings of the 5th ACM International Conference on AI in Finance,2024,FT5,full text unavailable after 3 attempts
P02_1209,Proceedings of the 2026 International Conference on Multimedia Retrieval,2026,FT5,full text unavailable after 3 attempts
P02_1210,Proceedings of the 2024 5th International Symposium on Artificial Intelligence for Medicine Science,2024,FT5,full text unavailable after 3 attempts
P02_1211,Proceedings of the 17th ACM Conference on Recommender Systems,2023,FT5,full text unavailable after 3 attempts
P02_1212,Proceedings of the 6th ACM International Conference on Multimedia in Asia,2024,FT5,full text unavailable after 3 attempts
P02_1213,Proceedings of the 7th Joint International Conference on Data Science &amp; Management of Data (11th ACM IKDD CODS and 29th COMAD),2024,FT5,full text unavailable after 3 attempts
P02_1214,Proceedings of the 17th ACM International Conference on Web Search and Data Mining,2024,FT5,full text unavailable after 3 attempts
P02_1215,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,2024,FT5,full text unavailable after 3 attempts
P02_1216,Proceedings of the 2024 ACM Workshop on Information Hiding and Multimedia Security,2024,FT5,full text unavailable after 3 attempts
P02_1217,Proceedings of the 48th International ACM SIGIR Conference on Research and Development in Information Retrieval,2025,FT5,full text unavailable after 3 attempts
P02_1218,Proceedings of the Special Interest Group on Computer Graphics and Interactive Techniques Conference Conference Papers,2026,FT5,full text unavailable after 3 attempts
P02_1219,Proceedings of the Companion Conference on Genetic and Evolutionary Computation,2023,FT5,full text unavailable after 3 attempts
P02_1220,Proceedings of the 2025 15th International Conference on Communication and Network Security,2025,FT5,full text unavailable after 3 attempts
P02_1221,Proceedings of the Genetic and Evolutionary Computation Conference Companion,2024,FT5,full text unavailable after 3 attempts
P02_1222,Proceedings of the 18th ACM Conference on Recommender Systems,2024,FT5,full text unavailable after 3 attempts
P02_1223,Companion Proceedings of the Web Conference 2022,2022,FT5,full text unavailable after 3 attempts
P02_1224,Proceedings of the 2025 ACM Workshop on Information Hiding and Multimedia Security,2025,FT5,full text unavailable after 3 attempts
P02_1225,Proceedings of the 32nd ACM SIGSOFT International Symposium on Software Testing and Analysis,2023,FT5,full text unavailable after 3 attempts
P02_1226,Proceedings of the 37th IEEE/ACM International Conference on Automated Software Engineering,2022,FT5,full text unavailable after 3 attempts
P02_1227,Proceedings of the 2024 on ACM SIGSAC Conference on Computer and Communications Security,2024,FT5,full text unavailable after 3 attempts
P02_1228,Proceedings of the 30th International Conference on Intelligent User Interfaces,2025,FT5,full text unavailable after 3 attempts
P02_1229,Proceedings of the 2026 ACM Secure Development Conference,2026,FT5,full text unavailable after 3 attempts
P02_1230,"Proceedings of the 21st Annual International Conference on Mobile Systems, Applications and Services",2023,FT5,full text unavailable after 3 attempts
P02_1231,Proceedings of the ACM SIGGRAPH/Eurographics Symposium on Computer Animation,2024,FT5,full text unavailable after 3 attempts
P02_1233,Proceedings of the 23rd International Conference on Autonomous Agents and Multiagent Systems,2024,FT5,full text unavailable after 3 attempts
P02_1234,Proceedings of the 38th ACM/SIGAPP Symposium on Applied Computing,2023,FT5,full text unavailable after 3 attempts
P02_1235,Proceedings of the SIGGRAPH Asia 2025 Conference Papers,2025,FT5,full text unavailable after 3 attempts
P02_1236,SIGGRAPH Asia 2024 Conference Papers,2024,FT5,full text unavailable after 3 attempts
P02_1237,Proceedings of the Fifth International Conference on Distributed Artificial Intelligence,2023,FT5,full text unavailable after 3 attempts
P02_1238,Proceedings of the 2025 ACM SIGSAC Conference on Computer and Communications Security,2025,FT5,full text unavailable after 3 attempts
P02_1240,Proceedings of the IEEE/ACM 48th International Conference on Software Engineering: Software Engineering in Practice,2026,FT5,full text unavailable after 3 attempts
P02_1241,Proceedings of the ACM Asia Conference on Computer and Communications Security,2026,FT5,full text unavailable after 3 attempts
P02_1242,The World Wide Web Conference,2019,FT5,full text unavailable after 3 attempts
P02_1243,Proceedings of the Genetic and Evolutionary Computation Conference,2024,FT5,full text unavailable after 3 attempts
P02_1244,"Proceedings of the 2026 ACM Conference on Fairness, Accountability, and Transparency",2026,FT5,full text unavailable after 3 attempts
P02_1245,Proceedings of the 19th ACM Asia Conference on Computer and Communications Security,2024,FT5,full text unavailable after 3 attempts
P02_1246,Optimal locally private nonparametric classification with public data,2024,FT5,full text unavailable after 3 attempts
P02_1247,"Proceedings of the 2024 ACM Conference on Fairness, Accountability, and Transparency",2024,FT5,full text unavailable after 3 attempts
P02_1248,"Proceedings of the 2023 ACM Conference on Fairness, Accountability, and Transparency",2023,FT5,full text unavailable after 3 attempts
P02_1249,Proceedings of the 19th International Conference on the Foundations of Digital Games,2024,FT5,full text unavailable after 3 attempts
P02_1250,Proceedings of the 2026 Designing Interactive Systems Conference,2026,FT5,full text unavailable after 3 attempts
P02_1308,Vision Transformer Neural Architecture Search for Out-of-Distribution Generalization: Benchmark and Insights,2024,FT5,full text unavailable after 3 attempts
P02_1329,"4th Conference on Lifelong Learning Agents, CoLLAs 2025",2025,FT5,full text unavailable after 3 attempts
P02_1339,TOWARDS ROBUST OUT-OF-DISTRIBUTION GENERALIZATION BOUNDS VIA SHARPNESS,2024,FT5,full text unavailable after 3 attempts
P02_1381,Sparse Mixture-of-Experts for Compositional Generalization: Empirical Evidence and Theoretical Foundations of Optimal Sparsity,2026,FT5,full text unavailable after 3 attempts
P02_1388,"14th National CCF Conference on Natural Language Processing and Chinese Computing, NLPCC 2025",2026,FT5,full text unavailable after 3 attempts
P02_1389,Weight Space Correlation Analysis: Quantifying Feature Utilization in Deep Learning Models,2026,FT5,full text unavailable after 3 attempts
P02_1395,Compositional generalization by factorizing alignment and translation,2020,FT5,full text unavailable after 3 attempts
P02_1398,Neural Collapse Inspired Feature Alignment for Out-of-Distribution Generalization,2024,FT5,full text unavailable after 3 attempts
P02_1407,"*SEM 2022 - 11th Joint Conference on Lexical and Computational Semantics, Proceedings of the Conference",2022,FT5,full text unavailable after 3 attempts
