study_id,id,split_id,arch_id,intervention_id,sub_exp_id,title,authors,year,venue,doi,arxiv_id,peer_reviewed,pub_type,pub_type_other,pub_venue_type,task_primary,tasks_secondary,task_custom_name,ood_split_type,ood_difficulty_metric,ood_difficulty_metric_name,arch_primary,arch_family,arch_detail,param_count,n_layers,hidden_dim,model_scale_category,train_n_examples,train_n_tokens,train_data_note,train_regime,train_regime_sigma,train_regime_other,baseline_regime,augmentation_used,augmentation_type,curriculum_used,meta_learning_used,id_acc_mean,id_acc_sd,id_acc_n_seeds,id_acc_n_test,id_acc_ci_lower,id_acc_ci_upper,id_metric_type,id_metric_other,ood_acc_mean,ood_acc_sd,ood_acc_n_seeds,ood_acc_n_test,ood_acc_ci_lower,ood_acc_ci_upper,ood_metric_type,ood_metric_other,id_ood_gap_raw,id_ood_gap_se,id_ood_gap_reported,effect_size_type,effect_size_value,effect_size_se,effect_size_ci_lower,effect_size_ci_upper,effect_size_computed_by_extractor,effect_size_notes,schema_coherence_measured,schema_coherence_proxy,schema_coherence_proxy_other,schema_coherence_value_intervention,schema_coherence_value_baseline,schema_coherence_notes,repr_analysis,repr_analysis_secondary,repr_analysis_finding,repr_analysis_layer,ci_reported,error_bars_reported,n_seeds_reported,n_seeds_value,sig_test_reported,sig_test_type,sig_test_pvalue,multiple_testing_correction,data_leakage_check,code_available,code_url,data_available,data_url,model_weights_available,reproducibility_score,relevance_sigma_trap,relevance_sigma_justification,relevance_alignment,relevance_alignment_justification,limitations_stated,limitations_text,limitations_extractor,open_questions_stated,open_questions_text,open_questions_extractor,other_metrics_reported,extractor_id,notes,experiment_label,task,arch,id_ood_gap,schema_coherence_value
S046,P02_0386,default,default,default,S046_E008,Rethinking Graph Generalization through the Lens of Sharpness-Aware Minimization,"Qiu, Y.; Zou, Y.; Wang, J.",2026,WWW 2026 - Proceedings of the ACM Web Conference 2026,10.1145/3774904.3792707,2602.08855v1,TRUE,empirical,,conference,custom,,"Graph classification (GraphOOD, DrugOOD)",domain_shift,FALSE,,GCN,gnn,Graph Neural Network for graph classification; cVAE-based energy perturbation for OOD augmentation (E2A),,,,unspecified,,,"GraphOOD (Motif, CMNIST, HIV, SST2, Twitter) and DrugOOD (EC50, IC50); domain/size-based OOD splits; ROC-AUC or accuracy metric",sigma_coupled,other_sigma,,standard_Adam,TRUE,energy-guided latent perturbation generating pseudo-OOD samples (E2A),FALSE,FALSE,,,3,,,,accuracy,ROC-AUC for binary datasets,0.6984,0.0154,3,,,,accuracy,ROC-AUC for binary datasets,,,,none,,,,,FALSE,Per-dataset OOD results in sub_experiments; ERM highest ID accuracy but sharp OOD drop (MSF phenomenon),FALSE,,,,,No representation-level schema coherence proxy; sharpness/flatness of loss landscape studied theoretically (SAM lens) but not measured on representations,none,,,,FALSE,TRUE,TRUE,3,FALSE,,,none,not_addressed,TRUE,https://github.com/anders1123/E2A,FALSE,,FALSE,partial,4,"Directly tests a sigma-targeting intervention family: links sharpness-aware minimization (SAM) theory to OOD generalization in GNNs, proposes flat-minima-seeking energy-based augmentation (E2A), and evaluates OOD performance across 13 graph benchmarks; measures flatness/sharpness but not schema coherence as mediator.",2,No explicit alignment/safety framing; graph OOD generalization motivation is web/graph applications; flatness and robustness discussion is safety-adjacent only.,TRUE,Authors note E2A requires no environment labels but shows smaller gains on some real-world datasets; theoretical link relies on local first-order approximation assumptions.,,FALSE,,,,EX1,"OOD accuracy 69.84 +/-1.54, 3 rounds",DrugOOD IC50 scaffold; E2A,custom,GCN,,
S046,P02_0386,default,default,default,S046_E009,Rethinking Graph Generalization through the Lens of Sharpness-Aware Minimization,"Qiu, Y.; Zou, Y.; Wang, J.",2026,WWW 2026 - Proceedings of the ACM Web Conference 2026,10.1145/3774904.3792707,2602.08855v1,TRUE,empirical,,conference,custom,,"Graph classification (GraphOOD, DrugOOD)",domain_shift,FALSE,,GCN,gnn,Graph Neural Network for graph classification; cVAE-based energy perturbation for OOD augmentation (E2A),,,,unspecified,,,"GraphOOD (Motif, CMNIST, HIV, SST2, Twitter) and DrugOOD (EC50, IC50); domain/size-based OOD splits; ROC-AUC or accuracy metric",sigma_coupled,other_sigma,,standard_Adam,TRUE,energy-guided latent perturbation generating pseudo-OOD samples (E2A),FALSE,FALSE,,,3,,,,accuracy,ROC-AUC for binary datasets,0.6916,0.0046,3,,,,accuracy,ROC-AUC for binary datasets,,,,none,,,,,FALSE,Per-dataset OOD results in sub_experiments; ERM highest ID accuracy but sharp OOD drop (MSF phenomenon),FALSE,,,,,No representation-level schema coherence proxy; sharpness/flatness of loss landscape studied theoretically (SAM lens) but not measured on representations,none,,,,FALSE,TRUE,TRUE,3,FALSE,,,none,not_addressed,TRUE,https://github.com/anders1123/E2A,FALSE,,FALSE,partial,4,"Directly tests a sigma-targeting intervention family: links sharpness-aware minimization (SAM) theory to OOD generalization in GNNs, proposes flat-minima-seeking energy-based augmentation (E2A), and evaluates OOD performance across 13 graph benchmarks; measures flatness/sharpness but not schema coherence as mediator.",2,No explicit alignment/safety framing; graph OOD generalization motivation is web/graph applications; flatness and robustness discussion is safety-adjacent only.,TRUE,Authors note E2A requires no environment labels but shows smaller gains on some real-world datasets; theoretical link relies on local first-order approximation assumptions.,,FALSE,,,,EX1,"OOD accuracy 69.16 +/-0.46, 3 rounds",DrugOOD IC50 size; E2A,custom,GCN,,
S046,P02_0386,default,default,default,S046_E010,Rethinking Graph Generalization through the Lens of Sharpness-Aware Minimization,"Qiu, Y.; Zou, Y.; Wang, J.",2026,WWW 2026 - Proceedings of the ACM Web Conference 2026,10.1145/3774904.3792707,2602.08855v1,TRUE,empirical,,conference,custom,,"Graph classification (GraphOOD, DrugOOD)",domain_shift,FALSE,,GCN,gnn,Graph Neural Network for graph classification; cVAE-based energy perturbation for OOD augmentation (E2A),,,,unspecified,,,"GraphOOD (Motif, CMNIST, HIV, SST2, Twitter) and DrugOOD (EC50, IC50); domain/size-based OOD splits; ROC-AUC or accuracy metric",sigma_coupled,other_sigma,,standard_Adam,TRUE,energy-guided latent perturbation generating pseudo-OOD samples (E2A),FALSE,FALSE,,,3,,,,accuracy,ROC-AUC for binary datasets,0.7293,0.0072,3,,,,accuracy,ROC-AUC for binary datasets,,,,none,,,,,FALSE,Per-dataset OOD results in sub_experiments; ERM highest ID accuracy but sharp OOD drop (MSF phenomenon),FALSE,,,,,No representation-level schema coherence proxy; sharpness/flatness of loss landscape studied theoretically (SAM lens) but not measured on representations,none,,,,FALSE,TRUE,TRUE,3,FALSE,,,none,not_addressed,TRUE,https://github.com/anders1123/E2A,FALSE,,FALSE,partial,4,"Directly tests a sigma-targeting intervention family: links sharpness-aware minimization (SAM) theory to OOD generalization in GNNs, proposes flat-minima-seeking energy-based augmentation (E2A), and evaluates OOD performance across 13 graph benchmarks; measures flatness/sharpness but not schema coherence as mediator.",2,No explicit alignment/safety framing; graph OOD generalization motivation is web/graph applications; flatness and robustness discussion is safety-adjacent only.,TRUE,Authors note E2A requires no environment labels but shows smaller gains on some real-world datasets; theoretical link relies on local first-order approximation assumptions.,,FALSE,,,,EX1,"OOD accuracy 72.93 +/-0.72, 3 rounds",DrugOOD EC50 assay; E2A,custom,GCN,,
S046,P02_0386,default,default,default,S046_E011,Rethinking Graph Generalization through the Lens of Sharpness-Aware Minimization,"Qiu, Y.; Zou, Y.; Wang, J.",2026,WWW 2026 - Proceedings of the ACM Web Conference 2026,10.1145/3774904.3792707,2602.08855v1,TRUE,empirical,,conference,custom,,"Graph classification (GraphOOD, DrugOOD)",domain_shift,FALSE,,GCN,gnn,Graph Neural Network for graph classification; cVAE-based energy perturbation for OOD augmentation (E2A),,,,unspecified,,,"GraphOOD (Motif, CMNIST, HIV, SST2, Twitter) and DrugOOD (EC50, IC50); domain/size-based OOD splits; ROC-AUC or accuracy metric",sigma_coupled,other_sigma,,standard_Adam,TRUE,energy-guided latent perturbation generating pseudo-OOD samples (E2A),FALSE,FALSE,,,3,,,,accuracy,ROC-AUC for binary datasets,0.6884,0.0114,3,,,,accuracy,ROC-AUC for binary datasets,,,,none,,,,,FALSE,Per-dataset OOD results in sub_experiments; ERM highest ID accuracy but sharp OOD drop (MSF phenomenon),FALSE,,,,,No representation-level schema coherence proxy; sharpness/flatness of loss landscape studied theoretically (SAM lens) but not measured on representations,none,,,,FALSE,TRUE,TRUE,3,FALSE,,,none,not_addressed,TRUE,https://github.com/anders1123/E2A,FALSE,,FALSE,partial,4,"Directly tests a sigma-targeting intervention family: links sharpness-aware minimization (SAM) theory to OOD generalization in GNNs, proposes flat-minima-seeking energy-based augmentation (E2A), and evaluates OOD performance across 13 graph benchmarks; measures flatness/sharpness but not schema coherence as mediator.",2,No explicit alignment/safety framing; graph OOD generalization motivation is web/graph applications; flatness and robustness discussion is safety-adjacent only.,TRUE,Authors note E2A requires no environment labels but shows smaller gains on some real-world datasets; theoretical link relies on local first-order approximation assumptions.,,FALSE,,,,EX1,"OOD accuracy 68.84 +/-1.14, 3 rounds",DrugOOD EC50 scaffold; E2A,custom,GCN,,
S046,P02_0386,default,default,default,S046_E012,Rethinking Graph Generalization through the Lens of Sharpness-Aware Minimization,"Qiu, Y.; Zou, Y.; Wang, J.",2026,WWW 2026 - Proceedings of the ACM Web Conference 2026,10.1145/3774904.3792707,2602.08855v1,TRUE,empirical,,conference,custom,,"Graph classification (GraphOOD, DrugOOD)",domain_shift,FALSE,,GCN,gnn,Graph Neural Network for graph classification; cVAE-based energy perturbation for OOD augmentation (E2A),,,,unspecified,,,"GraphOOD (Motif, CMNIST, HIV, SST2, Twitter) and DrugOOD (EC50, IC50); domain/size-based OOD splits; ROC-AUC or accuracy metric",sigma_coupled,other_sigma,,standard_Adam,TRUE,energy-guided latent perturbation generating pseudo-OOD samples (E2A),FALSE,FALSE,,,3,,,,accuracy,ROC-AUC for binary datasets,0.6832,0.0059,3,,,,accuracy,ROC-AUC for binary datasets,,,,none,,,,,FALSE,Per-dataset OOD results in sub_experiments; ERM highest ID accuracy but sharp OOD drop (MSF phenomenon),FALSE,,,,,No representation-level schema coherence proxy; sharpness/flatness of loss landscape studied theoretically (SAM lens) but not measured on representations,none,,,,FALSE,TRUE,TRUE,3,FALSE,,,none,not_addressed,TRUE,https://github.com/anders1123/E2A,FALSE,,FALSE,partial,4,"Directly tests a sigma-targeting intervention family: links sharpness-aware minimization (SAM) theory to OOD generalization in GNNs, proposes flat-minima-seeking energy-based augmentation (E2A), and evaluates OOD performance across 13 graph benchmarks; measures flatness/sharpness but not schema coherence as mediator.",2,No explicit alignment/safety framing; graph OOD generalization motivation is web/graph applications; flatness and robustness discussion is safety-adjacent only.,TRUE,Authors note E2A requires no environment labels but shows smaller gains on some real-world datasets; theoretical link relies on local first-order approximation assumptions.,,FALSE,,,,EX1,"OOD accuracy 68.32 +/-0.59, 3 rounds",DrugOOD EC50 size; E2A,custom,GCN,,
S061,P02_0594,default,default,default,S061_E001,COGS: A Compositional Generalization Challenge Based on Semantic Interpretation,Najoung Kim; Tal Linzen,2020,http://arxiv.org/abs/2010.05465v1,,2010.05465v1,TRUE,dataset_benchmark,,conference,COGS,,,compositional,FALSE,,TransformerEncDec,transformer,"Transformer 2 enc+dec layers, 4 heads, FFN 512, 9.5M params; LSTM and BiLSTM encoders 10-11M params; OpenNMT",9500000,2,512,medium,,,"COGS semantic parsing dataset, fragment of English; training/eval sets differ systematically (structural gaps)",standard_Adam,not_applicable,,standard_Adam,FALSE,,FALSE,FALSE,0.99,,5,,,,accuracy,,0.35,0.06,5,,,,accuracy,,0.64,,,none,,,,,FALSE,Benchmark paper; gap = ID - OOD accuracy,FALSE,,,,,No representation-level coherence proxy,none,,,,FALSE,TRUE,TRUE,5,FALSE,,,none,not_addressed,TRUE,https://github.com/najoungkim/COGS,TRUE,https://github.com/najoungkim/COGS,FALSE,medium,3,Introduces a benchmark directly measuring compositional generalization failure (ID near-perfect vs OOD 16-35%) across Transformer and LSTM architectures with seed sensitivity; measures a core sigma-trap component without connecting to training dynamics or schema coherence.,1,No connection to AI safety or alignment; semantic parsing benchmark only.,TRUE,COGS covers a fragment of English (small grammar); only seq2seq semantic parsing tested; authors note limitations of the dataset in capturing full natural language compositionality.,,TRUE,Whether architectural or training modifications improve compositional generalization; which structural properties of training data matter.,,,EX1,"ID 0.99 (dev/test), OOD 0.35 +/-0.06, 5 seeds",COGS generalization; Transformer,COGS,TransformerEncDec,0.64,
S061,P02_0594,default,default,default,S061_E002,COGS: A Compositional Generalization Challenge Based on Semantic Interpretation,Najoung Kim; Tal Linzen,2020,http://arxiv.org/abs/2010.05465v1,,2010.05465v1,TRUE,dataset_benchmark,,conference,COGS,,,compositional,FALSE,,TransformerEncDec,transformer,"Transformer 2 enc+dec layers, 4 heads, FFN 512, 9.5M params; LSTM and BiLSTM encoders 10-11M params; OpenNMT",9500000,2,512,medium,,,"COGS semantic parsing dataset, fragment of English; training/eval sets differ systematically (structural gaps)",standard_Adam,not_applicable,,standard_Adam,FALSE,,FALSE,FALSE,0.96,,5,,,,accuracy,,0.32,0.06,5,,,,accuracy,,0.64,,,none,,,,,FALSE,Benchmark paper; gap = ID - OOD accuracy,FALSE,,,,,No representation-level coherence proxy,none,,,,FALSE,TRUE,TRUE,5,FALSE,,,none,not_addressed,TRUE,https://github.com/najoungkim/COGS,TRUE,https://github.com/najoungkim/COGS,FALSE,medium,3,Introduces a benchmark directly measuring compositional generalization failure (ID near-perfect vs OOD 16-35%) across Transformer and LSTM architectures with seed sensitivity; measures a core sigma-trap component without connecting to training dynamics or schema coherence.,1,No connection to AI safety or alignment; semantic parsing benchmark only.,TRUE,COGS covers a fragment of English (small grammar); only seq2seq semantic parsing tested; authors note limitations of the dataset in capturing full natural language compositionality.,,TRUE,Whether architectural or training modifications improve compositional generalization; which structural properties of training data matter.,,,EX1,"ID 0.96, OOD 0.32 +/-0.06, 5 seeds",COGS generalization; LSTM,COGS,LSTM,0.64,
S061,P02_0594,default,default,default,S061_E003,COGS: A Compositional Generalization Challenge Based on Semantic Interpretation,Najoung Kim; Tal Linzen,2020,http://arxiv.org/abs/2010.05465v1,,2010.05465v1,TRUE,dataset_benchmark,,conference,COGS,,,compositional,FALSE,,TransformerEncDec,transformer,"Transformer 2 enc+dec layers, 4 heads, FFN 512, 9.5M params; LSTM and BiLSTM encoders 10-11M params; OpenNMT",9500000,2,512,medium,,,"COGS semantic parsing dataset, fragment of English; training/eval sets differ systematically (structural gaps)",standard_Adam,not_applicable,,standard_Adam,FALSE,,FALSE,FALSE,0.99,,5,,,,accuracy,,0.16,0.08,5,,,,accuracy,,0.64,,,none,,,,,FALSE,Benchmark paper; gap = ID - OOD accuracy,FALSE,,,,,No representation-level coherence proxy,none,,,,FALSE,TRUE,TRUE,5,FALSE,,,none,not_addressed,TRUE,https://github.com/najoungkim/COGS,TRUE,https://github.com/najoungkim/COGS,FALSE,medium,3,Introduces a benchmark directly measuring compositional generalization failure (ID near-perfect vs OOD 16-35%) across Transformer and LSTM architectures with seed sensitivity; measures a core sigma-trap component without connecting to training dynamics or schema coherence.,1,No connection to AI safety or alignment; semantic parsing benchmark only.,TRUE,COGS covers a fragment of English (small grammar); only seq2seq semantic parsing tested; authors note limitations of the dataset in capturing full natural language compositionality.,,TRUE,Whether architectural or training modifications improve compositional generalization; which structural properties of training data matter.,,,EX1,"ID 0.99, OOD 0.16 +/-0.08, 5 seeds",COGS generalization; Bidirectional LSTM,COGS,LSTM,0.83,
S089,P02_0622,default,default,default,S089_E001,Measuring Compositional Generalization: A Comprehensive Method on Realistic Data,Daniel Keysers; Nathanael Schärli; Nathan Scales; Hylke Buisman; Daniel Furrer; Sergii Kashubin; Nikola Momchev; Danila Sinopalnikov; Lukasz Stafiniak; Tibor Tihon; Dmitry Tsarkov; Xiao Wang; Marc van Zee; Olivier Bousquet,2019,http://arxiv.org/abs/1912.09713v2,,1912.09713v2,TRUE,dataset_benchmark,,conference,CFQ,SCAN,,compositional,TRUE,compound divergence,TransformerEncDec,transformer,"3 baseline seq2seq archs: LSTM+attention (Bahdanau), Transformer, Universal Transformer; tensor2tensor defaults",,,,unspecified,239357,,"CFQ: 239,357 question-answer pairs over Freebase; MCD splits maximize compound divergence",standard_Adam,not_applicable,,standard_Adam,FALSE,,FALSE,FALSE,0.974,,5,,0.983,0.987,accuracy,,0.149,,5,,0.17,0.188,accuracy,,0.806,,,none,,,,,FALSE,Benchmark paper; gap captured via id_ood_gap_raw,FALSE,,,,,"No representation-level coherence proxy measured; DBCA operates on data splits, not internal representations",none,,,,TRUE,TRUE,TRUE,5,FALSE,,,none,explicit_no,TRUE,https://github.com/google-research/google-research/tree/master/cfq,TRUE,https://github.com/google-research/google-research/tree/master/cfq,FALSE,medium,3,"Directly measures one component of the sigma-trap (compositional generalization failure / OOD gap) across three architectures and introduces compound divergence as an OOD difficulty metric, but does not connect to training dynamics, flatness, or schema coherence.",1,"No connection to AI safety, alignment, or goal misgeneralization; purely a benchmark construction and evaluation paper.",TRUE,CFQ is restricted to Freebase QA over English; SPARQL answers anonymized; benchmark covers a single semantic-parsing-style task; authors note the method does not prescribe what distribution a learner should optimize for.,,TRUE,"Apply DBCA to other domains (e.g., visual reasoning based on CLEVR); explore whether improved architectures such as syntactic attention can achieve high accuracy at high compound divergence.",,,EX1,"ID = Random split 97.4 +/-0.3 (95% CI); OOD = MCD mean 14.9 +/-1.1 (95% CI), 5 seeds",CFQ MCD; LSTM+attention,CFQ,LSTM,0.825,
S089,P02_0622,default,default,default,S089_E002,Measuring Compositional Generalization: A Comprehensive Method on Realistic Data,Daniel Keysers; Nathanael Schärli; Nathan Scales; Hylke Buisman; Daniel Furrer; Sergii Kashubin; Nikola Momchev; Danila Sinopalnikov; Lukasz Stafiniak; Tibor Tihon; Dmitry Tsarkov; Xiao Wang; Marc van Zee; Olivier Bousquet,2019,http://arxiv.org/abs/1912.09713v2,,1912.09713v2,TRUE,dataset_benchmark,,conference,CFQ,SCAN,,compositional,TRUE,compound divergence,TransformerEncDec,transformer,"3 baseline seq2seq archs: LSTM+attention (Bahdanau), Transformer, Universal Transformer; tensor2tensor defaults",,,,unspecified,239357,,"CFQ: 239,357 question-answer pairs over Freebase; MCD splits maximize compound divergence",standard_Adam,not_applicable,,standard_Adam,FALSE,,FALSE,FALSE,0.985,,5,,0.983,0.987,accuracy,,0.179,,5,,0.17,0.188,accuracy,,0.806,,,none,,,,,FALSE,Benchmark paper; gap captured via id_ood_gap_raw,FALSE,,,,,"No representation-level coherence proxy measured; DBCA operates on data splits, not internal representations",none,,,,TRUE,TRUE,TRUE,5,FALSE,,,none,explicit_no,TRUE,https://github.com/google-research/google-research/tree/master/cfq,TRUE,https://github.com/google-research/google-research/tree/master/cfq,FALSE,medium,3,"Directly measures one component of the sigma-trap (compositional generalization failure / OOD gap) across three architectures and introduces compound divergence as an OOD difficulty metric, but does not connect to training dynamics, flatness, or schema coherence.",1,"No connection to AI safety, alignment, or goal misgeneralization; purely a benchmark construction and evaluation paper.",TRUE,CFQ is restricted to Freebase QA over English; SPARQL answers anonymized; benchmark covers a single semantic-parsing-style task; authors note the method does not prescribe what distribution a learner should optimize for.,,TRUE,"Apply DBCA to other domains (e.g., visual reasoning based on CLEVR); explore whether improved architectures such as syntactic attention can achieve high accuracy at high compound divergence.",,,EX1,"ID = Random 98.5 +/-0.2; OOD = MCD 17.9 +/-0.9 (95% CI), 5 seeds",CFQ MCD; Transformer,CFQ,TransformerEncDec,0.806,
S089,P02_0622,default,default,default,S089_E003,Measuring Compositional Generalization: A Comprehensive Method on Realistic Data,Daniel Keysers; Nathanael Schärli; Nathan Scales; Hylke Buisman; Daniel Furrer; Sergii Kashubin; Nikola Momchev; Danila Sinopalnikov; Lukasz Stafiniak; Tibor Tihon; Dmitry Tsarkov; Xiao Wang; Marc van Zee; Olivier Bousquet,2019,http://arxiv.org/abs/1912.09713v2,,1912.09713v2,TRUE,dataset_benchmark,,conference,CFQ,SCAN,,compositional,TRUE,compound divergence,TransformerEncDec,transformer,"3 baseline seq2seq archs: LSTM+attention (Bahdanau), Transformer, Universal Transformer; tensor2tensor defaults",,,,unspecified,239357,,"CFQ: 239,357 question-answer pairs over Freebase; MCD splits maximize compound divergence",standard_Adam,not_applicable,,standard_Adam,FALSE,,FALSE,FALSE,0.98,,5,,0.983,0.987,accuracy,,0.189,,5,,0.17,0.188,accuracy,,0.806,,,none,,,,,FALSE,Benchmark paper; gap captured via id_ood_gap_raw,FALSE,,,,,"No representation-level coherence proxy measured; DBCA operates on data splits, not internal representations",none,,,,TRUE,TRUE,TRUE,5,FALSE,,,none,explicit_no,TRUE,https://github.com/google-research/google-research/tree/master/cfq,TRUE,https://github.com/google-research/google-research/tree/master/cfq,FALSE,medium,3,"Directly measures one component of the sigma-trap (compositional generalization failure / OOD gap) across three architectures and introduces compound divergence as an OOD difficulty metric, but does not connect to training dynamics, flatness, or schema coherence.",1,"No connection to AI safety, alignment, or goal misgeneralization; purely a benchmark construction and evaluation paper.",TRUE,CFQ is restricted to Freebase QA over English; SPARQL answers anonymized; benchmark covers a single semantic-parsing-style task; authors note the method does not prescribe what distribution a learner should optimize for.,,TRUE,"Apply DBCA to other domains (e.g., visual reasoning based on CLEVR); explore whether improved architectures such as syntactic attention can achieve high accuracy at high compound divergence.",,,EX1,"ID = Random 98.0 +/-0.3; OOD = MCD 18.9 +/-1.4 (95% CI), 5 seeds",CFQ MCD; Universal Transformer,CFQ,TransformerEncDec,0.791,
S089,P02_0622,default,default,default,S089_E004,Measuring Compositional Generalization: A Comprehensive Method on Realistic Data,Daniel Keysers; Nathanael Schärli; Nathan Scales; Hylke Buisman; Daniel Furrer; Sergii Kashubin; Nikola Momchev; Danila Sinopalnikov; Lukasz Stafiniak; Tibor Tihon; Dmitry Tsarkov; Xiao Wang; Marc van Zee; Olivier Bousquet,2019,http://arxiv.org/abs/1912.09713v2,,1912.09713v2,TRUE,dataset_benchmark,,conference,CFQ,SCAN,,compositional,TRUE,compound divergence,TransformerEncDec,transformer,"3 baseline seq2seq archs: LSTM+attention (Bahdanau), Transformer, Universal Transformer; tensor2tensor defaults",,,,unspecified,239357,,"CFQ: 239,357 question-answer pairs over Freebase; MCD splits maximize compound divergence",standard_Adam,not_applicable,,standard_Adam,FALSE,,FALSE,FALSE,0.999,,5,,0.983,0.987,accuracy,,0.061,,5,,0.17,0.188,accuracy,,0.806,,,none,,,,,FALSE,Benchmark paper; gap captured via id_ood_gap_raw,FALSE,,,,,"No representation-level coherence proxy measured; DBCA operates on data splits, not internal representations",none,,,,TRUE,TRUE,TRUE,5,FALSE,,,none,explicit_no,TRUE,https://github.com/google-research/google-research/tree/master/cfq,TRUE,https://github.com/google-research/google-research/tree/master/cfq,FALSE,medium,3,"Directly measures one component of the sigma-trap (compositional generalization failure / OOD gap) across three architectures and introduces compound divergence as an OOD difficulty metric, but does not connect to training dynamics, flatness, or schema coherence.",1,"No connection to AI safety, alignment, or goal misgeneralization; purely a benchmark construction and evaluation paper.",TRUE,CFQ is restricted to Freebase QA over English; SPARQL answers anonymized; benchmark covers a single semantic-parsing-style task; authors note the method does not prescribe what distribution a learner should optimize for.,,TRUE,"Apply DBCA to other domains (e.g., visual reasoning based on CLEVR); explore whether improved architectures such as syntactic attention can achieve high accuracy at high compound divergence.",,,EX1,"SCAN Random 99.9 +/-2.7; MCD 6.1 +/-2.2 (95% CI), 5 seeds",SCAN MCD; LSTM+attention,SCAN,LSTM,0.938,
S089,P02_0622,default,default,default,S089_E005,Measuring Compositional Generalization: A Comprehensive Method on Realistic Data,Daniel Keysers; Nathanael Schärli; Nathan Scales; Hylke Buisman; Daniel Furrer; Sergii Kashubin; Nikola Momchev; Danila Sinopalnikov; Lukasz Stafiniak; Tibor Tihon; Dmitry Tsarkov; Xiao Wang; Marc van Zee; Olivier Bousquet,2019,http://arxiv.org/abs/1912.09713v2,,1912.09713v2,TRUE,dataset_benchmark,,conference,CFQ,SCAN,,compositional,TRUE,compound divergence,TransformerEncDec,transformer,"3 baseline seq2seq archs: LSTM+attention (Bahdanau), Transformer, Universal Transformer; tensor2tensor defaults",,,,unspecified,239357,,"CFQ: 239,357 question-answer pairs over Freebase; MCD splits maximize compound divergence",standard_Adam,not_applicable,,standard_Adam,FALSE,,FALSE,FALSE,1.0,,5,,0.983,0.987,accuracy,,0.011,,5,,0.17,0.188,accuracy,,0.806,,,none,,,,,FALSE,Benchmark paper; gap captured via id_ood_gap_raw,FALSE,,,,,"No representation-level coherence proxy measured; DBCA operates on data splits, not internal representations",none,,,,TRUE,TRUE,TRUE,5,FALSE,,,none,explicit_no,TRUE,https://github.com/google-research/google-research/tree/master/cfq,TRUE,https://github.com/google-research/google-research/tree/master/cfq,FALSE,medium,3,"Directly measures one component of the sigma-trap (compositional generalization failure / OOD gap) across three architectures and introduces compound divergence as an OOD difficulty metric, but does not connect to training dynamics, flatness, or schema coherence.",1,"No connection to AI safety, alignment, or goal misgeneralization; purely a benchmark construction and evaluation paper.",TRUE,CFQ is restricted to Freebase QA over English; SPARQL answers anonymized; benchmark covers a single semantic-parsing-style task; authors note the method does not prescribe what distribution a learner should optimize for.,,TRUE,"Apply DBCA to other domains (e.g., visual reasoning based on CLEVR); explore whether improved architectures such as syntactic attention can achieve high accuracy at high compound divergence.",,,EX1,"SCAN Random 100.0 +/-0.0; MCD 1.1 +/-0.5 (95% CI), 5 seeds",SCAN MCD; Transformer,SCAN,TransformerEncDec,0.989,
S089,P02_0622,default,default,default,S089_E006,Measuring Compositional Generalization: A Comprehensive Method on Realistic Data,Daniel Keysers; Nathanael Schärli; Nathan Scales; Hylke Buisman; Daniel Furrer; Sergii Kashubin; Nikola Momchev; Danila Sinopalnikov; Lukasz Stafiniak; Tibor Tihon; Dmitry Tsarkov; Xiao Wang; Marc van Zee; Olivier Bousquet,2019,http://arxiv.org/abs/1912.09713v2,,1912.09713v2,TRUE,dataset_benchmark,,conference,CFQ,SCAN,,compositional,TRUE,compound divergence,TransformerEncDec,transformer,"3 baseline seq2seq archs: LSTM+attention (Bahdanau), Transformer, Universal Transformer; tensor2tensor defaults",,,,unspecified,239357,,"CFQ: 239,357 question-answer pairs over Freebase; MCD splits maximize compound divergence",standard_Adam,not_applicable,,standard_Adam,FALSE,,FALSE,FALSE,0.999,,5,,0.983,0.987,accuracy,,0.012,,5,,0.17,0.188,accuracy,,0.806,,,none,,,,,FALSE,Benchmark paper; gap captured via id_ood_gap_raw,FALSE,,,,,"No representation-level coherence proxy measured; DBCA operates on data splits, not internal representations",none,,,,TRUE,TRUE,TRUE,5,FALSE,,,none,explicit_no,TRUE,https://github.com/google-research/google-research/tree/master/cfq,TRUE,https://github.com/google-research/google-research/tree/master/cfq,FALSE,medium,3,"Directly measures one component of the sigma-trap (compositional generalization failure / OOD gap) across three architectures and introduces compound divergence as an OOD difficulty metric, but does not connect to training dynamics, flatness, or schema coherence.",1,"No connection to AI safety, alignment, or goal misgeneralization; purely a benchmark construction and evaluation paper.",TRUE,CFQ is restricted to Freebase QA over English; SPARQL answers anonymized; benchmark covers a single semantic-parsing-style task; authors note the method does not prescribe what distribution a learner should optimize for.,,TRUE,"Apply DBCA to other domains (e.g., visual reasoning based on CLEVR); explore whether improved architectures such as syntactic attention can achieve high accuracy at high compound divergence.",,,EX1,"SCAN Random 99.9 +/-0.2; MCD 1.2 +/-0.7 (95% CI), 5 seeds",SCAN MCD; Universal Transformer,SCAN,TransformerEncDec,0.987,
