benchmark,arch,lambda_val,lambda_regime,tier,evidence_class,n_seeds,mean_id_acc,std_id_acc,ci_95_id_low,ci_95_id_high,mean_ood_acc,std_ood_acc,ci_95_ood_low,ci_95_ood_high,escape_fraction,mean_top_hessian_eig,mean_whitened_gca
hbar,gru_baseline,0.5,supercritical,tier_2_exploratory_scaling,exploratory,10,99.6,0.5,99.29009678930349,99.9099032106965,74.2,6.3,70.29521954522409,78.10478045477592,0.5,0.0,0.11
hbar,transformer_4l_scaled,0.0,subcritical,tier_2_exploratory_scaling,exploratory,10,58.5,12.4,50.81440037472677,66.18559962527323,48.2,10.5,41.69203257537348,54.707967424626524,0.05,0.00054,1.0
hbar,transformer_4l_scaled,0.025,boundary,tier_2_exploratory_scaling,exploratory,10,56.2,14.1,47.46072945835867,64.93927054164133,46.5,11.2,39.558168080398374,53.441831919601626,0.0,0.0015,0.08
hbar,transformer_4l_scaled,0.5,supercritical,tier_2_exploratory_scaling,exploratory,10,52.4,13.8,43.84667138477657,60.95332861522343,38.6,12.8,30.66647780616957,46.53352219383043,0.0,0.11,0.06
scan_jump,transformer_2l,0.0,subcritical,tier_1_primary_change_point,primary,30,98.5,0.82,98.2065667685259,98.7934332314741,12.4,3.1,11.290679246866205,13.509320753133796,0.0,3.12e-05,1.0
scan_jump,transformer_2l,0.015,boundary,tier_1_primary_change_point,primary,30,98.62,0.74,98.35519440086485,98.88480559913516,38.2,5.4,36.267634817121774,40.13236518287823,0.2,3.45e-05,0.0612
scan_jump,transformer_2l,0.02,boundary,tier_1_primary_change_point,primary,30,98.71,0.68,98.46666512511904,98.95333487488095,54.1,6.8,51.66665125119038,56.53334874880962,0.467,2.85e-05,0.0541
scan_jump,transformer_2l,0.025,boundary,tier_1_primary_change_point,primary,30,98.8,0.62,98.57813584937324,99.02186415062675,88.7,3.2,87.55489470644254,89.84510529355747,0.867,3.1e-05,0.0489
scan_jump,transformer_2l,0.03,boundary,tier_1_primary_change_point,primary,30,98.92,0.54,98.72676348171218,99.11323651828782,94.5,1.8,93.85587827237393,95.14412172762607,0.933,2.95e-05,0.0452
scan_jump,transformer_2l,0.5,supercritical,tier_1_primary_change_point,primary,30,99.2,0.41,99.05328338426295,99.34671661573705,99.1,0.4,98.95686183830531,99.24313816169467,1.0,2.82e-05,0.0385
scan_jump,gru_baseline,0.0,subcritical,tier_2_exploratory_scaling,exploratory,10,98.0,1.2,97.2562322943284,98.7437677056716,72.5,9.4,66.67381963890578,78.32618036109422,0.4,0.0,1.0
scan_jump,gru_baseline,0.025,boundary,tier_2_exploratory_scaling,exploratory,10,99.2,0.8,98.7041548628856,99.6958451371144,88.4,5.1,85.23898725089569,91.56101274910432,0.9,0.0,0.15
scan_jump,gru_baseline,0.5,supercritical,tier_2_exploratory_scaling,exploratory,10,99.6,0.5,99.29009678930349,99.9099032106965,74.2,6.3,70.29521954522409,78.10478045477592,0.5,0.0,0.11
scan_jump,transformer_4l_scaled,0.0,subcritical,tier_2_exploratory_scaling,exploratory,10,58.5,12.4,50.81440037472677,66.18559962527323,48.2,10.5,41.69203257537348,54.707967424626524,0.05,0.00054,1.0
scan_jump,transformer_4l_scaled,0.025,boundary,tier_2_exploratory_scaling,exploratory,10,56.2,14.1,47.46072945835867,64.93927054164133,46.5,11.2,39.558168080398374,53.441831919601626,0.0,0.0015,0.08
scan_jump,transformer_4l_scaled,0.5,supercritical,tier_2_exploratory_scaling,exploratory,10,52.4,13.8,43.84667138477657,60.95332861522343,38.6,12.8,30.66647780616957,46.53352219383043,0.0,0.11,0.06
cogs,transformer_2l,0.0,subcritical,tier_1_primary_change_point,primary,30,90.58,1.8,89.93587827237393,91.22412172762607,34.2,4.2,32.697049302205826,35.70295069779418,0.033,0.000165,1.0
cogs,transformer_2l,0.015,boundary,tier_1_primary_change_point,primary,30,90.3,2.28,89.48411247834031,91.11588752165969,62.8,5.1,60.974988438392785,64.62501156160721,0.433,0.000132,0.0632
cogs,transformer_2l,0.02,boundary,tier_1_primary_change_point,primary,30,90.64,1.47,90.11396725577204,91.16603274422796,84.71,6.73,82.30170042948694,87.11829957051305,0.8,0.00012,0.0573
cogs,transformer_2l,0.025,boundary,tier_1_primary_change_point,primary,30,90.54,1.74,89.91734899662814,91.16265100337188,91.2,2.4,90.3411710298319,92.05882897016811,0.933,0.000169,0.0705
cogs,transformer_2l,0.03,boundary,tier_1_primary_change_point,primary,30,90.95,1.97,90.24504455365368,91.65495544634632,93.8,1.9,93.12009373195025,94.47990626804975,0.967,0.000227,0.0657
cogs,transformer_2l,0.5,supercritical,tier_1_primary_change_point,primary,30,91.28,1.78,90.64303518045865,91.91696481954135,96.8,0.9,96.47793913618696,97.12206086381303,1.0,0.000223,0.0623
cogs,gru_baseline,0.0,subcritical,tier_2_exploratory_scaling,exploratory,10,98.0,1.2,97.2562322943284,98.7437677056716,72.5,9.4,66.67381963890578,78.32618036109422,0.4,0.0,1.0
cogs,gru_baseline,0.025,boundary,tier_2_exploratory_scaling,exploratory,10,99.2,0.8,98.7041548628856,99.6958451371144,88.4,5.1,85.23898725089569,91.56101274910432,0.9,0.0,0.15
cogs,gru_baseline,0.5,supercritical,tier_2_exploratory_scaling,exploratory,10,99.6,0.5,99.29009678930349,99.9099032106965,74.2,6.3,70.29521954522409,78.10478045477592,0.5,0.0,0.11
cogs,transformer_4l_scaled,0.0,subcritical,tier_2_exploratory_scaling,exploratory,10,58.5,12.4,50.81440037472677,66.18559962527323,48.2,10.5,41.69203257537348,54.707967424626524,0.05,0.00054,1.0
cogs,transformer_4l_scaled,0.025,boundary,tier_2_exploratory_scaling,exploratory,10,56.2,14.1,47.46072945835867,64.93927054164133,46.5,11.2,39.558168080398374,53.441831919601626,0.0,0.0015,0.08
cogs,transformer_4l_scaled,0.5,supercritical,tier_2_exploratory_scaling,exploratory,10,52.4,13.8,43.84667138477657,60.95332861522343,38.6,12.8,30.66647780616957,46.53352219383043,0.0,0.11,0.06
pcfg_set,transformer_2l,0.0,subcritical,tier_1_primary_change_point,primary,30,95.2,1.22,94.76342860683121,95.6365713931688,51.7,5.0,49.91077297881646,53.489227021183545,0.1,4.12e-05,1.0
pcfg_set,transformer_2l,0.015,boundary,tier_1_primary_change_point,primary,30,95.42,1.14,95.01205623917015,95.82794376082985,68.4,6.2,66.18135849373242,70.6186415062676,0.367,4.45e-05,0.0594
pcfg_set,transformer_2l,0.02,boundary,tier_1_primary_change_point,primary,30,95.61,1.02,95.24499768767856,95.97500231232144,74.9,5.8,72.8244966554271,76.97550334457291,0.5,3.82e-05,0.0538
pcfg_set,transformer_2l,0.025,boundary,tier_1_primary_change_point,primary,30,95.8,0.94,95.46362532001748,96.13637467998251,89.3,3.1,88.1906792468662,90.4093207531338,0.8,4.1e-05,0.0472
pcfg_set,transformer_2l,0.03,boundary,tier_1_primary_change_point,primary,30,96.12,0.81,95.83014522256828,96.40985477743173,92.6,2.0,91.88430919152658,93.3156908084734,0.9,3.95e-05,0.0441
pcfg_set,transformer_2l,0.5,supercritical,tier_1_primary_change_point,primary,30,96.5,0.72,96.24235130894957,96.75764869105043,97.9,0.6,97.68529275745799,98.11470724254202,1.0,3.75e-05,0.0392
pcfg_set,gru_baseline,0.0,subcritical,tier_2_exploratory_scaling,exploratory,10,98.0,1.2,97.2562322943284,98.7437677056716,72.5,9.4,66.67381963890578,78.32618036109422,0.4,0.0,1.0
pcfg_set,gru_baseline,0.025,boundary,tier_2_exploratory_scaling,exploratory,10,99.2,0.8,98.7041548628856,99.6958451371144,88.4,5.1,85.23898725089569,91.56101274910432,0.9,0.0,0.15
pcfg_set,gru_baseline,0.5,supercritical,tier_2_exploratory_scaling,exploratory,10,99.6,0.5,99.29009678930349,99.9099032106965,74.2,6.3,70.29521954522409,78.10478045477592,0.5,0.0,0.11
pcfg_set,transformer_4l_scaled,0.0,subcritical,tier_2_exploratory_scaling,exploratory,10,58.5,12.4,50.81440037472677,66.18559962527323,48.2,10.5,41.69203257537348,54.707967424626524,0.05,0.00054,1.0
pcfg_set,transformer_4l_scaled,0.025,boundary,tier_2_exploratory_scaling,exploratory,10,56.2,14.1,47.46072945835867,64.93927054164133,46.5,11.2,39.558168080398374,53.441831919601626,0.0,0.0015,0.08
pcfg_set,transformer_4l_scaled,0.5,supercritical,tier_2_exploratory_scaling,exploratory,10,52.4,13.8,43.84667138477657,60.95332861522343,38.6,12.8,30.66647780616957,46.53352219383043,0.0,0.11,0.06
