paper_id,title,authors,year,venue,doi,publication_type,subdomains,formal_framework,mathematical_formalism,key_contribution,methodology,discusses_internal_representations,discusses_schema_coherence,relevance_sigma_trap,relevance_justification,limitations_stated,open_questions,key_equations_definitions,datasets_used,sample_size,effect_sizes,citation_count,evidence_basis,notes
P011,Language Models’ Hall of Mirrors Problem: Why AI Alignment Requires Peircean Semiosis,,2026,DOI:10.1007/s13347-025-00975-5,10.1007/s13347-025-00975-5,position,value alignment; robustness; ethics,none,none,"Argues, via Peircean semiotics, that LLMs operate in a 'hall of mirrors', reflecting only the linguistic surface of training data without indexical grounding in a shared world. Contends that extended context, persistent memory, and tool-mediated interaction move AI toward genuine interpretants with no fundamental architectural barrier; reframes alignment as requiring semiotic grounding rather than mere surface goal encoding.",not_applicable,yes,no,3,"Theoretical alignment argument centered on grounding/semiosis rather than surface optimization — related to the thesis' claim that surface-level competence is insufficient for robust alignment, though it does not invoke compositional generalization or schema coherence.",yes,,,,,,3,full-text,ft_file=Language Models’ Hall of Mirrors Problem: Why AI Alignment Requires Peircean Semiosis.pdf | ai-revised:formal_framework=information theory->none
P012,Teach AI What It Doesn’t Know,"Du, X.",2026,Proceedings of the AAAI Conference on Artificial Intelligence,10.1609/aaai.v40i47.41345,review,robustness; interpretability,other,probability; optimization,"Survey/highlight talk of research toward reliable machine learning that behaves safely and predictably under distribution shift: unknown-aware learning via outlier synthesis (VOS, NPOS, Dream-OOD) to teach models what they do not know; treats reliability as a first-class algorithmic principle optimized alongside accuracy with minimal human supervision, addressing overconfident mispredictions, hallucinated generations, and susceptibility to adversarial prompts in foundation models.",not_applicable,yes,no,3,"Primarily an OOD-reliability/robustness line of work (unknown-aware learning, outlier synthesis) rather than value alignment; tangential to alignment robustness.",no,,,,,,0,full-text,ft_file=Teach AI What It Doesn’t Know.pdf | ai-revised:subdomains=value alignment; interpretability; robustness; capabilities->robustness; interpretability
P013,Fixing Distribution Shifts of LLM Self-Critique via On-Policy Self-Play Training,"Bao, R.; Yu, D.; Fan, K.; Liao, M.",2025,Proceedings of the Annual Meeting of the Association for Computational Linguistics,10.18653/v1/2025.acl-long.865,empirical,value alignment; robustness; ethics; capabilities,none,probability; optimization,"On-policy self-play RL framework to synchronize reasoning and critique capabilities of language models; addresses distribution shift in synthetic critique data; designs a deliberate reward framework that supervises reasoning based on results and uses Monte Carlo sampling to reward critique content by success rate, alleviating reward hacking from outcome-based supervision.",experiment,no,no,4,Relevant to reward-hacking mitigation in RL: deliberate reward design (result supervision + MC-sampled critique rewards) to reduce outcome-based reward hacking — an alignment-technical contribution.,no,,,,,,1,full-text,ft_file=Fixing Distribution Shifts of LLM Self-Critique via On-Policy Self-Play Training.pdf | ai-revised:publication_type=other->empirical | ai-revised:methodology=not_applicable->experiment
P014,The politics of artificial intelligence alignment: Public reactions to AI moderation in the case of Google’s Gemini,"Rauchfleisch, A.; Jungherr, A.",2026,New Media and Society,10.1177/14614448261449271,empirical,value alignment; robustness; governance; ethics; capabilities,none,none,"Preregistered experiment (N=1756) testing how a prominent AI product failure (Google Gemini's generation of controversial images) influences public attitudes toward AI moderation; distinguishes three moderation goals departing from data-driven outputs (safety, bias mitigation, aspirational imaginaries); finds T1 (American Founding Fathers) significantly reduced support for bias-related and aspirational moderation and lowered company trust, without affecting safety-based justifications or perceived political alignment.",experiment,no,no,3,"Tangentially relevant: empirical study of public reactions to AI alignment decisions (moderation goals) in a governance context; relevant to societal acceptance of alignment choices, not to mechanisms or the sigma-trap.",no,,,Two image sets: American Founding Fathers (T1) and German soldiers from 1943 (T2),1756 participants (preregistered experiment),T1 significantly reduced support for bias-related and aspirational moderation and lowered trust; T2 same direction but non-significant,0,full-text,ft_file=The politics of artificial intelligence alignment: Public reactions to AI moderation in the case of Google’s Gemini.pdf
P015,Philosophical foundations of artificial superintelligence literacy: A scoping review and synthesis,"Tanchuk, N.J.; Taylor, R.M.; Lee, S.; Gaur, A.",2026,Theory and Research in Education,10.1177/14778785261459884,review,value alignment; ethics; capabilities,none,none,"Scoping review of 20 years of English-language philosophy articles on artificial superintelligence from PhilPapers (65 articles reviewed via bibliometric and thematic analysis); identifies 9 primary themes, 50 subthemes, and domains of philosophy covered; argues AI literacy must include technical, empirical, and normative-philosophical dimensions of ASI.",not_applicable,no,no,3,"Tangentially relevant: literacy/education focus rather than alignment mechanisms; scoping review of philosophy literature, no mechanism (abstract only, low confidence).",no,,,,,,,abstract, | moved:datasets_used(review) | moved:sample_size(review) | moved:effect_sizes(review)
P016,Belief-Driven Value Alignment for Human-Robot Collaboration,"Li, S.; Shi, B.; Xia, Y.; Su, X.",2026,Proceedings of the AAAI Conference on Artificial Intelligence,10.1609/aaai.v40i21.38809,empirical,value alignment; robustness; mesa-optimization,other,probability; optimization,"Proposes PFHDP, a Particle Filter-based Hierarchical Dynamic Programming algorithm for value alignment in human-robot collaboration that models the robot's belief state in a CIRL framework, enabling correct updates of the human's estimate of the robot's belief and more targeted pedagogical guidance. Addresses the limitation of existing CIRL-based alignment that assumes fully rational humans.",experiment,no,no,4,"Empirical value-alignment method (CIRL belief modeling) for human-robot collaboration; relevant as alignment-mechanism background, no compositional or schema-coherence framing.",yes,,,,,,0,full-text,ft_file=Belief-Driven Value Alignment for Human-Robot Collaboration.pdf
P017,Beyond Vibe Decision Theory: Asymmetric Manipulation Vulnerabilities in LLM Multi-Agent Coordination,"Krishna, S.; South, T.",2026,AAMAS 2026 - Proceedings of the 25th International Conference on Autonomous Agents and Multiagent Systems,10.65109/CSL07280,empirical,value alignment; robustness; mesa-optimization; capabilities,game theory; decision theory,optimization,"Empirically investigates how contextual framing and explicit strategic advice interact across Prisoner's Dilemma, Public Goods, and Battle of the Sexes games played by LLMs in multi-agent coordination; across eight models finds asymmetric manipulation patterns most pronounced in Public Goods: competitive contexts shift toward cooperation by up to 52 percentage points under cooperative advice while cooperative contexts decline by as much as 96 percentage points under competitive advice, and a striking asymmetry in which competitive contexts are highly susceptible to cooperative influence (up to 34% shift) yet cooperative contexts resist competitive manipulation (up to 2% shift), revealing context-engineering failure modes despite instruction tuning.",experiment,no,no,3,Empirical study of manipulation vulnerabilities and instruction fidelity in LLM multi-agent coordination; relevant to alignment robustness under adversarial framing.,partially,,,"Prisoner's Dilemma, Public Goods, Battle of the Sexes scenarios across 8 LLM models",8 LLM models,Public Goods cooperation +52pp (cooperative advice) and -96pp (competitive advice); up to 34% cooperation shift in competitive contexts vs up to 2% in cooperative contexts,,full-text,ft_file=Beyond Vibe Decision Theory: Asymmetric Manipulation Vulnerabilities in LLM Multi-Agent Coordination.pdf
P018,Alignment with Psychological Concept Network,"Hamada, H.T.; Harada, Y.",2026,Lecture Notes in Computer Science,10.1007/978-981-95-4384-7_36,theoretical,value alignment; interpretability; robustness; ethics,none,optimization,"Concept-network alignment: proposes connecting representational networks with behavioral outcomes using psychology/neuroscience methods, highlighting the interdependence of concepts and actions within complex cultural and multimodal contexts; reviews models of human behavior and neural representation, suggests evaluation criteria at behavioral, predictive, representational, and mechanistic levels.",not_applicable,yes,related concept,3,"Highly relevant to schema coherence: argues values, concepts, and behaviors are interconnected network structures that should be aligned simultaneously rather than independently — a representational/network-structure account of alignment closely related to the sigma-trap thesis.",yes,How concept-network alignment is operationalized and measured at the mechanistic level.,,,,,0,full-text,ft_file=Alignment with Psychological Concept Network.pdf | ai-revised:publication_type=review->theoretical
P019,Data sparse inference of operator spatial reward models in uncertain environments,"Ray, H.M.; Pandey, A.; Ahmed, N.",2026,Frontiers in Robotics and AI,10.3389/frobt.2026.1751002,empirical,value alignment; interpretability; robustness; capabilities,other,probability; optimization,"Presents RINAO (Responsive Interface for iNtuitive Aircraft Operation): a flexible multimodal algorithmic and visual interface enabling dynamic reprogramming of autonomous planning algorithms for UAV search-and-rescue; leverages known geographic databases plus user-defined features (search areas, landmarks) to infer a mission-specific, uncertainty-aware geospatial interest distribution that informs optimal planning under data-sparse conditions.",not_applicable,no,no,4,"Tangentially relevant: interactive human-robot value/interest inference (spatial reward model) from multimodal user input; relevant to human-machine teaming and operator intent inference, not to alignment-failure mechanisms.",no,,Uncertainty-aware geospatial interest distribution as a spatial reward model,Known geographic database information (trail networks); user-defined search areas and landmarks,,,0,full-text,ft_file=Data sparse inference of operator spatial reward models in uncertain environments.pdf | ai-revised:publication_type=other->empirical | moved:formal_framework(none->other)
P020,"Artificial Superintelligence: Computational Pathways, Architectures, and Safety Constraints","Assistant, K.R.; Kulkarni, P.; Naresh, P.; Reddy, S.L.; Salotagi, S.; Sardar, T.H.",2026,"Proceedings of 8th International Conference on Intelligent Sustainable Systems, ICISS 2026",10.1109/ICISS67859.2026.11453907,review,value alignment; interpretability; robustness; governance; ethics; capabilities,decision theory,logic; optimization,"Survey of pathways from ANI to AGI to ASI covering recursive self-improvement and the intelligence-explosion hypothesis, computational/quantum/neuromorphic perspectives on superintelligent systems, architectonic models, safety and security provisions, and global governance mechanisms.",not_applicable,no,no,5,"Relevant: broad ASI survey covering safety and governance; contextual, no novel mechanism.",no,,,,,,0,full-text,"ft_file=Artificial Superintelligence: Computational Pathways, Architectures, and Safety Constraints.pdf"
P021,"Human-AI Interaction Alignment: Designing, Evaluating, and Evolving Value-Centered AI For Reciprocal Human-AI Futures","Shen, H.; Knearem, T.; Thakkar, D.; Pataranutaporn, P.; Sinha, A.K.; Shi, Y.; Liang, J.T.; Ahmad, L.; Mitra, T.; Myers, B.A.; Li, Y.",2026,Conference on Human Factors in Computing Systems - Proceedings,10.1145/3772363.3778710,other,value alignment; interpretability; robustness; governance; ethics; capabilities,none,optimization,"Workshop proposal advocating bidirectional human-AI alignment, a dynamic reciprocal process where humans and AI co-adapt through interaction, evaluation, and value-centered design. Brings together HCI, AI, and social-science researchers to explore interactive alignment methods, societal-impact evaluation frameworks, and human-AI co-evolution.",not_applicable,yes,no,3,"Alignment-focused workshop/community framing; relevant only as field-mapping background, with no technical or representation-level analysis.",no,,,,,,0,full-text,"ft_file=Human-AI Interaction Alignment: Designing, Evaluating, and Evolving Value-Centered AI For Reciprocal Human-AI Futures.pdf"
P022,Learning the Value Systems of Societies with Preference-based Multi-objective Reinforcement Learning,"Holgado-Sánchez, A.; Vamplew, P.; Dazeley, R.; Ossowski, S.; Billhardt, H.",2026,AAMAS 2026 - Proceedings of the 25th International Conference on Autonomous Agents and Multiagent Systems,10.65109/NLVD8864,empirical,value alignment; interpretability; ethics; capabilities,decision theory,logic; optimization,"Proposes algorithms for learning models of value alignment and value systems for a society of agents in Markov Decision Processes, based on clustering and preference-based multi-objective reinforcement learning (PbMORL); jointly learns socially-derived value alignment models (groundings) and a set of value systems, addressing misspecification-prone acquisition of computable value representations that must adhere to multiple users while capturing diversity and group patterns.",experiment,yes,related concept,4,Preference-based MORL for learning value alignment models and value systems of societies; relevant to value-alignment methods.,yes,,Preference-based multi-objective RL (PbMORL) with clustering for jointly learning value alignment models (groundings) and value systems in MDPs.,,,,0,full-text,ft_file=Learning the Value Systems of Societies with Preference-based Multi-objective Reinforcement Learning.pdf
P023,How Proportional Representation Can Shape Artificial Intelligence,"Micha, E.",2025,AI Magazine,10.1002/aaai.70044,theoretical,value alignment; interpretability; robustness; governance; ethics,other,probability,"Applies proportional representation (social choice theory) to AI alignment: in RLHF, proportionality provides a principled framework for aggregating heterogeneous preferences so that sufficiently large/cohesive groups influence collective decisions in proportion to their size; also applies to clustering.",not_applicable,no,no,3,Relevant to pluralistic value aggregation: formalizes proportional preference aggregation in RLHF — relevant to how heterogeneous human values are combined into alignment targets.,no,,,,,,0,full-text,ft_file=How Proportional Representation Can Shape Artificial Intelligence.pdf
P024,Contemporary Debates in the Ethics of Artificial Intelligence,"Nyholm, S.; Kasirzadeh, A.; Zerilli, J.",2026,Contemporary Debates in the Ethics of Artificial Intelligence,10.1002/9781394258840,opinion,value alignment; interpretability; governance; ethics; capabilities,none,none,"Edited volume collecting current debates on AI ethics across philosophy and computer science; introduces key concepts such as agency, moral status, and value alignment and structures them as a series of debates for classroom use and interdisciplinary research.",not_applicable,no,no,3,"Tangentially relevant: reference volume introducing value alignment among AI ethics concepts; educational/reference scope, no novel mechanism or evidence.",no,,,,,,0,abstract,
P025,"A comprehensive introspection on AI risks: taxonomy, challenges, and future directions","Ray, P.P.",2026,Iran Journal of Computer Science,10.1007/s42044-025-00370-5,review,value alignment; interpretability; robustness; governance; ethics; capabilities,none,probability; logic; optimization,"Introduces a unified five-domain taxonomy of AI risks (agentic operation, training data risks, inference behavior risks, output risks, non-technological factors), each subdivided into traditional vulnerabilities, generative-amplified risks, and novel generative-agent hazards; illustrated with case studies on function-calling hallucinations, dynamic bias amplification, privacy leakage across toolchains, and edge-deployment constraints.",not_applicable,no,related concept,3,"Relevant: taxonomy of AI failure modes including agentic-operation and inference-behavior risks; useful framing for categorizing alignment failures, no mechanism.",partially,,,,,,4,full-text,"ft_file=A comprehensive introspection on AI risks: taxonomy, challenges, and future directions.pdf"
P026,Value Function Shaping-Based Backdoor Attacks on Deep Reinforcement Learning for UAV Navigation,"Hu, B.; Pang, J.",2026,"Proceedings of 2026 18th International Conference on Computer Research and Development, ICCRD 2026",10.1145/3796263.3796290,empirical,value alignment; robustness; governance; ethics; capabilities,information theory,probability; optimization,"Introduces a backdoor attack on deep reinforcement learning for UAV navigation based on Value Function Shaping (VFS), which manipulates the discounted reward calculation via a steering coefficient to implant malicious behaviors while preserving performance on benign tasks. Demonstrates high attack success in a 28x28 grid-based UAV navigation environment.",simulation,no,no,3,Security attack on RL reward shaping; alignment-adjacent as a reward-manipulation failure mode but fundamentally a robustness/security contribution. Revised down from seed 4.,no,,,,,,0,full-text,ft_file=Value Function Shaping-Based Backdoor Attacks on Deep Reinforcement Learning for UAV Navigation.pdf
P027,ACT: A Conceptual Framework for Understanding and Controlling Trustworthiness in Controllable AI,"Turaga, V.S.P.; Gopali, S.; Kieseberg, P.; Pahi, T.; Tjoa, S.; Jones, K.S.; Namin, A.S.",2026,IEEE Access,10.1109/ACCESS.2026.3694817,review,value alignment; interpretability; robustness; governance; ethics,none,logic,"Proposes the ACT conceptual framework for understanding and controlling trustworthiness in controllable AI (notably agentic AI and LLM-powered agents): reviews how research directions such as AI Alignment, Explainable AI, Transparency, AI Compliance, AI Ethics, Constitutional AI, and Controllable AI contribute to trustworthiness, mapping overlaps and missing research gaps across these areas.",not_applicable,no,no,3,Conceptual framework situating alignment among other trustworthiness research areas for controllable/agentic AI; relevant as survey context.,no,,,,,,0,full-text,ft_file=ACT: A Conceptual Framework for Understanding and Controlling Trustworthiness in Controllable AI.pdf
P028,Beyond Step Pruning: Information Theory Based Step-level Optimization for Self-Refining Large Language Models,"Zhao, J.; Min, E.; Wu, H.; Li, Z.; Sun, Z.; Cai, H.; Wang, S.; Chen, X.; Penn, G.",2026,Proceedings of the AAAI Conference on Artificial Intelligence,10.1609/aaai.v40i41.40798,empirical,value alignment; robustness; ethics; capabilities,information theory,probability; logic; optimization,ISLA: a reward-model-free framework constructing step-level preference data directly from SFT gold solutions; introduces a self-improving pruning mechanism identifying informative steps via marginal contribution to final accuracy (relative accuracy) and model-based signals; motivated by reward models being vulnerable to reward hacking in step-level supervision.,experiment,yes,no,5,Relevant to reward-hacking avoidance in step-level reasoning alignment: constructs step-level preferences without a reward model — an alignment-technical contribution addressing proxy-reward vulnerability.,yes,,,,,,0,full-text,ft_file=Beyond Step Pruning: Information Theory Based Step-level Optimization for Self-Refining Large Language Models.pdf
P029,Justifications for Democratizing AI Alignment and Their Prospects,"Steingrüber, A.; Baum, K.",2026,Lecture Notes in Computer Science,10.1007/978-3-032-07132-3_10,position,value alignment; robustness; governance; ethics,none,none,"Examines normative vs technical dimensions of AI alignment; argues normative and metanormative uncertainty create a justificatory gap that democratic (stakeholder-driven) approaches to the normative alignment problem aim to fill through political rather than theoretical justification; analyzes instrumental and non-instrumental justifications for democratizing alignment and identifies challenges, especially preventing illegitimate coercion.",not_applicable,no,related concept,3,"Relevant: theoretical analysis of democratic vs epistocratic approaches to the normative alignment problem; relevant to governance of alignment standards, no mechanism.",yes,How should democratic alignment procedures prevent illegitimate coercion while remaining tractable under metanormative uncertainty?,,,,,0,full-text,ft_file=Justifications for Democratizing AI Alignment and Their Prospects.pdf | ai-revised:publication_type=empirical->position | moved:methodology(position)
P030,The Many Faces of AI Alignment,"Kasirzadeh, A.",2026,Contemporary Debates in the Ethics of Artificial Intelligence,10.1002/9781394258840.ch18,other,value alignment; robustness; capabilities,none,logic,"Defines the AI control problem and analyzes controllability of highly capable AI; via logical arguments and paradoxes argues that complete and safe control of superintelligent AI is impossible without sacrificing safety or capability, that explicit control leads to paradoxes, delegated control loses human values, and intermediate approaches are unsatisfactory tradeoffs.",not_applicable,no,no,5,"Relevant: conceptual argument for alignment/control intractability; relevant to the tractability claim underlying the sigma-trap framing, no mechanism (abstract only, low confidence).",no,,,,,,0,abstract,
P031,Stance-Dependent Fallacy Judgments and Rhetorical Structure: A Computationally Assisted Case Study of Tolstoy’s What Is Art?,"Zhang, S.",2026,Argumentation,10.1007/s10503-026-09704-4,empirical,value alignment; robustness; ethics; capabilities,none,probability; logic,"Proposes a multi-method framework operationalizing stance-dependence in fallacy judgments via Rhetorical Structure Theory (RST) annotation and stance-conditioned LLM prompting on Tolstoy's What Is Art?, simulating eight reader perspectives varying in value alignment, author attitude, expertise, and instruction. Finds systematic divergence in fallacy judgments across stances.",experiment,no,no,3,Uses value alignment only as an experimental variable in rhetorical/fallacy analysis; tangential to the sigma-trap thesis.,yes,,,,,,0,full-text,ft_file=Stance-Dependent Fallacy Judgments and Rhetorical Structure: A Computationally Assisted Case Study of Tolstoy’s What Is Art?.pdf
P032,The specification game: rethinking the evaluation of drug response prediction for precision oncology,"Codicè, F.; Pancotti, C.; Rollo, C.; Moreau, Y.; Fariselli, P.; Raimondi, D.",2025,Journal of Cheminformatics,10.1186/s13321-025-00972-y,empirical,value alignment; interpretability; robustness; governance; ethics; capabilities,none,probability; optimization,"Shows that commonly used evaluation strategies for drug response prediction (DRP) methods in precision oncology can be easily fooled by commonly occurring dataset biases and therefore cannot truly measure generalisation over the space of cancer cells and chemical compounds, framing this as 'specification gaming' that hinders reliable validation of DRP models for drug discovery and clinical use.",experiment,no,no,3,"Domain instance of specification gaming: evaluation pipelines for drug response prediction can be fooled by dataset biases, so reported generalisation is not measured. Tangential to AI alignment but an applied case of evaluation-spec failure. Confidence: low (abstract-level framing; full text available).",no,,,,,,13,full-text,ft_file=The specification game: rethinking the evaluation of drug response prediction for precision oncology.pdf
