paper_id,title,authors,year,venue,doi,publication_type,subdomains,formal_framework,mathematical_formalism,key_contribution,methodology,discusses_internal_representations,discusses_schema_coherence,relevance_sigma_trap,relevance_justification,limitations_stated,open_questions,key_equations_definitions,datasets_used,sample_size,effect_sizes,citation_count,evidence_basis,notes
P011,Language Models’ Hall of Mirrors Problem: Why AI Alignment Requires Peircean Semiosis,,2026,DOI:10.1007/s13347-025-00975-5,10.1007/s13347-025-00975-5,position,value alignment; robustness; ethics,information theory,none,,not_applicable,yes,no,3,,yes,,,,,,3,full-text,ft_file=Language Models’ Hall of Mirrors Problem: Why AI Alignment Requires Peircean Semiosis.pdf
P012,Teach AI What It Doesn’t Know,"Du, X.",2026,Proceedings of the AAAI Conference on Artificial Intelligence,10.1609/aaai.v40i47.41345,review,value alignment; interpretability; robustness; capabilities,other,probability; optimization,,not_applicable,yes,no,3,,no,,,,,,0,full-text,ft_file=Teach AI What It Doesn’t Know.pdf
P013,Fixing Distribution Shifts of LLM Self-Critique via On-Policy Self-Play Training,"Bao, R.; Yu, D.; Fan, K.; Liao, M.",2025,Proceedings of the Annual Meeting of the Association for Computational Linguistics,10.18653/v1/2025.acl-long.865,other,value alignment; robustness; ethics; capabilities,none,probability; optimization,,not_applicable,no,no,4,,no,,,,,,1,full-text,ft_file=Fixing Distribution Shifts of LLM Self-Critique via On-Policy Self-Play Training.pdf
P014,The politics of artificial intelligence alignment: Public reactions to AI moderation in the case of Google’s Gemini,"Rauchfleisch, A.; Jungherr, A.",2026,New Media and Society,10.1177/14614448261449271,empirical,value alignment; robustness; governance; ethics; capabilities,none,none,,experiment,no,no,3,,no,,,,,,0,full-text,ft_file=The politics of artificial intelligence alignment: Public reactions to AI moderation in the case of Google’s Gemini.pdf
P015,Philosophical foundations of artificial superintelligence literacy: A scoping review and synthesis,"Tanchuk, N.J.; Taylor, R.M.; Lee, S.; Gaur, A.",2026,Theory and Research in Education,10.1177/14778785261459884,review,value alignment; ethics; capabilities,none,none,,not_applicable,no,no,3,,no,,,,,,,abstract,
P016,Belief-Driven Value Alignment for Human-Robot Collaboration,"Li, S.; Shi, B.; Xia, Y.; Su, X.",2026,Proceedings of the AAAI Conference on Artificial Intelligence,10.1609/aaai.v40i21.38809,empirical,value alignment; robustness; mesa-optimization,other,probability; optimization,,experiment,no,no,4,,yes,,,,,,0,full-text,ft_file=Belief-Driven Value Alignment for Human-Robot Collaboration.pdf
P017,Beyond Vibe Decision Theory: Asymmetric Manipulation Vulnerabilities in LLM Multi-Agent Coordination,"Krishna, S.; South, T.",2026,AAMAS 2026 - Proceedings of the 25th International Conference on Autonomous Agents and Multiagent Systems,10.65109/CSL07280,empirical,value alignment; robustness; mesa-optimization; capabilities,game theory; decision theory,optimization,,experiment,no,no,3,,partially,,,,,,,full-text,ft_file=Beyond Vibe Decision Theory: Asymmetric Manipulation Vulnerabilities in LLM Multi-Agent Coordination.pdf
P018,Alignment with Psychological Concept Network,"Hamada, H.T.; Harada, Y.",2026,Lecture Notes in Computer Science,10.1007/978-981-95-4384-7_36,review,value alignment; interpretability; robustness; ethics,none,optimization,,not_applicable,yes,related concept,3,,yes,,,,,,0,full-text,ft_file=Alignment with Psychological Concept Network.pdf
P019,Data sparse inference of operator spatial reward models in uncertain environments,"Ray, H.M.; Pandey, A.; Ahmed, N.",2026,Frontiers in Robotics and AI,10.3389/frobt.2026.1751002,other,value alignment; interpretability; robustness; capabilities,none,probability; optimization,,not_applicable,no,no,4,,no,,,,,,0,full-text,ft_file=Data sparse inference of operator spatial reward models in uncertain environments.pdf
P020,"Artificial Superintelligence: Computational Pathways, Architectures, and Safety Constraints","Assistant, K.R.; Kulkarni, P.; Naresh, P.; Reddy, S.L.; Salotagi, S.; Sardar, T.H.",2026,"Proceedings of 8th International Conference on Intelligent Sustainable Systems, ICISS 2026",10.1109/ICISS67859.2026.11453907,review,value alignment; interpretability; robustness; governance; ethics; capabilities,decision theory,logic; optimization,,not_applicable,no,no,5,,no,,,,,,0,full-text,"ft_file=Artificial Superintelligence: Computational Pathways, Architectures, and Safety Constraints.pdf"
P021,"Human-AI Interaction Alignment: Designing, Evaluating, and Evolving Value-Centered AI For Reciprocal Human-AI Futures","Shen, H.; Knearem, T.; Thakkar, D.; Pataranutaporn, P.; Sinha, A.K.; Shi, Y.; Liang, J.T.; Ahmad, L.; Mitra, T.; Myers, B.A.; Li, Y.",2026,Conference on Human Factors in Computing Systems - Proceedings,10.1145/3772363.3778710,other,value alignment; interpretability; robustness; governance; ethics; capabilities,none,optimization,,not_applicable,yes,no,3,,no,,,,,,0,full-text,"ft_file=Human-AI Interaction Alignment: Designing, Evaluating, and Evolving Value-Centered AI For Reciprocal Human-AI Futures.pdf"
P022,Learning the Value Systems of Societies with Preference-based Multi-objective Reinforcement Learning,"Holgado-Sánchez, A.; Vamplew, P.; Dazeley, R.; Ossowski, S.; Billhardt, H.",2026,AAMAS 2026 - Proceedings of the 25th International Conference on Autonomous Agents and Multiagent Systems,10.65109/NLVD8864,empirical,value alignment; interpretability; ethics; capabilities,decision theory,logic; optimization,,experiment,yes,related concept,4,,yes,,,,,,0,full-text,ft_file=Learning the Value Systems of Societies with Preference-based Multi-objective Reinforcement Learning.pdf
P023,How Proportional Representation Can Shape Artificial Intelligence,"Micha, E.",2025,AI Magazine,10.1002/aaai.70044,theoretical,value alignment; interpretability; robustness; governance; ethics,other,probability,,not_applicable,no,no,3,,no,,,,,,0,full-text,ft_file=How Proportional Representation Can Shape Artificial Intelligence.pdf
P024,Contemporary Debates in the Ethics of Artificial Intelligence,"Nyholm, S.; Kasirzadeh, A.; Zerilli, J.",2026,Contemporary Debates in the Ethics of Artificial Intelligence,10.1002/9781394258840,opinion,value alignment; interpretability; governance; ethics; capabilities,none,none,,not_applicable,no,no,3,,no,,,,,,0,abstract,
P025,"A comprehensive introspection on AI risks: taxonomy, challenges, and future directions","Ray, P.P.",2026,Iran Journal of Computer Science,10.1007/s42044-025-00370-5,review,value alignment; interpretability; robustness; governance; ethics; capabilities,none,probability; logic; optimization,,not_applicable,no,related concept,3,,partially,,,,,,4,full-text,"ft_file=A comprehensive introspection on AI risks: taxonomy, challenges, and future directions.pdf"
P026,Value Function Shaping-Based Backdoor Attacks on Deep Reinforcement Learning for UAV Navigation,"Hu, B.; Pang, J.",2026,"Proceedings of 2026 18th International Conference on Computer Research and Development, ICCRD 2026",10.1145/3796263.3796290,empirical,value alignment; robustness; governance; ethics; capabilities,information theory,probability; optimization,,simulation,no,no,4,,no,,,,,,0,full-text,ft_file=Value Function Shaping-Based Backdoor Attacks on Deep Reinforcement Learning for UAV Navigation.pdf
P027,ACT: A Conceptual Framework for Understanding and Controlling Trustworthiness in Controllable AI,"Turaga, V.S.P.; Gopali, S.; Kieseberg, P.; Pahi, T.; Tjoa, S.; Jones, K.S.; Namin, A.S.",2026,IEEE Access,10.1109/ACCESS.2026.3694817,review,value alignment; interpretability; robustness; governance; ethics,none,logic,,not_applicable,no,no,3,,no,,,,,,0,full-text,ft_file=ACT: A Conceptual Framework for Understanding and Controlling Trustworthiness in Controllable AI.pdf
P028,Beyond Step Pruning: Information Theory Based Step-level Optimization for Self-Refining Large Language Models,"Zhao, J.; Min, E.; Wu, H.; Li, Z.; Sun, Z.; Cai, H.; Wang, S.; Chen, X.; Penn, G.",2026,Proceedings of the AAAI Conference on Artificial Intelligence,10.1609/aaai.v40i41.40798,empirical,value alignment; robustness; ethics; capabilities,information theory,probability; logic; optimization,,experiment,yes,no,5,,yes,,,,,,0,full-text,ft_file=Beyond Step Pruning: Information Theory Based Step-level Optimization for Self-Refining Large Language Models.pdf
P029,Justifications for Democratizing AI Alignment and Their Prospects,"Steingrüber, A.; Baum, K.",2026,Lecture Notes in Computer Science,10.1007/978-3-032-07132-3_10,empirical,value alignment; robustness; governance; ethics,none,none,,theory,no,related concept,3,,yes,,,,,,0,full-text,ft_file=Justifications for Democratizing AI Alignment and Their Prospects.pdf
P030,The Many Faces of AI Alignment,"Kasirzadeh, A.",2026,Contemporary Debates in the Ethics of Artificial Intelligence,10.1002/9781394258840.ch18,other,value alignment; robustness; capabilities,none,logic,,not_applicable,no,no,5,,no,,,,,,0,abstract,
P031,Stance-Dependent Fallacy Judgments and Rhetorical Structure: A Computationally Assisted Case Study of Tolstoy’s What Is Art?,"Zhang, S.",2026,Argumentation,10.1007/s10503-026-09704-4,empirical,value alignment; robustness; ethics; capabilities,none,probability; logic,,experiment,no,no,3,,yes,,,,,,0,full-text,ft_file=Stance-Dependent Fallacy Judgments and Rhetorical Structure: A Computationally Assisted Case Study of Tolstoy’s What Is Art?.pdf
P032,The specification game: rethinking the evaluation of drug response prediction for precision oncology,"Codicè, F.; Pancotti, C.; Rollo, C.; Moreau, Y.; Fariselli, P.; Raimondi, D.",2025,Journal of Cheminformatics,10.1186/s13321-025-00972-y,empirical,value alignment; interpretability; robustness; governance; ethics; capabilities,none,probability; optimization,,experiment,no,no,3,,no,,,,,,13,full-text,ft_file=The specification game: rethinking the evaluation of drug response prediction for precision oncology.pdf
P033,AI-exhibited Personality Traits Can Shape Human Self-concept through Conversations,"Li, J.; Song, T.; Boonprakong, N.; Zhu, Z.; Yang, Y.; Lee, Y.-C.",2026,Conference on Human Factors in Computing Systems - Proceedings,10.1145/3772318.3790654,empirical,value alignment; interpretability; robustness; ethics,none,probability,,analysis,no,no,3,,no,,,,,,2,full-text,ft_file=AI-exhibited Personality Traits Can Shape Human Self-concept through Conversations.pdf
P034,Towards a societal AI alignment benchmark for evaluating human–machine value convergence,"Bojic, L.; Seychell, D.; Cabarkapa, M.",2026,Humanities and Social Sciences Communications,10.1057/s41599-026-07255-3,empirical,value alignment; robustness; governance; ethics; capabilities,none,optimization,"Reports a Likert-scale survey comparing sentiment of seven LLMs (including GPT-4) and humans toward AGI, using a societal AI alignment benchmark for evaluating human-machine value convergence. Provides empirical evidence on whether LLM values converge with societal attitudes toward AGI.",experiment,no,no,4,Empirical evidence on value convergence between LLMs and humans - relevant background for whether surface-statistical value alignment tracks deeper value structure; does not address internal representation structure or compositional generalization.,partially,Whether LLM-human value convergence is robust across cultures and contexts; how survey-based alignment measurement relates to behavioral alignment.,,Societal AI alignment benchmark; Likert-scale survey administered to 7 LLMs and human respondents,7 LLMs (incl. GPT-4); human respondent sample (survey),Not reported in abstract (survey distributions reported in paper),1,full-text,ft_file=Towards a societal AI alignment benchmark for evaluating human-machine value convergence.pdf; pilot=manual-review
P035,"AI and My Values: User Perceptions of LLMs' Ability to Extract, Embody, and Explain Human Values from Casual Conversations","Yun, B.; Su, R.; Yi Wang, A.",2026,Conference on Human Factors in Computing Systems - Proceedings,10.1145/3772318.3790566,theoretical,value alignment; interpretability; robustness; ethics; capabilities,none,logic; optimization,,not_applicable,yes,no,3,,partially,,,,,,3,full-text,"ft_file=AI and My Values: User Perceptions of LLMs' Ability to Extract, Embody, and Explain Human Values from Casual Conversations.pdf"
P036,Secure and trustworthy energy systems: A four-layer threat model and defense-in-depth framework,"Cheng, Y.; Zhou, X.; Zhao, H.; Liang, G.; Wen, F.; Zhao, J.",2026,Energy,10.1016/j.energy.2026.140027,other,value alignment; robustness; mesa-optimization; governance; ethics; capabilities,none,logic; optimization,,not_applicable,no,no,4,,yes,,,,,,1,full-text,ft_file=Secure and trustworthy energy systems: A four-layer threat model and defense-in-depth framework.pdf
P037,Interpretable group gated priority traces for scalarized multi-objective reinforcement learning in autonomous drone operations,"Sun, B.; You, H.; Wu, J.; Du, J.",2026,Frontiers in Built Environment,10.3389/fbuil.2026.1747709,empirical,value alignment; interpretability; robustness; governance; ethics,dynamical systems,probability; optimization,,simulation,no,no,3,,yes,,,,,,0,full-text,ft_file=Interpretable group gated priority traces for scalarized multi-objective reinforcement learning in autonomous drone operations.pdf
P038,Towards Aligning Multimodal LLMs with Human Experts: A Focus on Parent-Child Interaction,"Shi, W.; Choo, K.T.W.",2026,Conference on Human Factors in Computing Systems - Proceedings,10.1145/3772318.3791267,other,value alignment; interpretability; robustness; governance; ethics; capabilities,none,none,,not_applicable,no,no,3,,yes,,,,,,1,full-text,ft_file=Towards Aligning Multimodal LLMs with Human Experts: A Focus on Parent-Child Interaction.pdf
P039,Will power-seeking AGIs harm human society?,"Wang, M.",2026,AI and Society,10.1007/s00146-025-02572-8,position,value alignment; ethics; capabilities,none,probability; optimization,,not_applicable,yes,no,5,,yes,,,,,,1,full-text,ft_file=Will power-seeking AGIs harm human society?.pdf
P040,A sociotechnological-system approach to AI ethics,"Riesen, E.",2025,AI and Society,10.1007/s00146-025-02335-5,opinion,value alignment; robustness; ethics,none,none,"Argues that AI systems should be understood as sociotechnological systems with human and artifactual components, shifting AI-ethics and AI-safety theorizing away from autonomous-system framings toward a sociotechnical grounding.",not_applicable,no,no,3,"Peripheral to sigma-trap: a philosophical framing paper on AI ethics; no formal mechanism, no internal representation structure, no compositional generalization.",yes,How to operationalize the sociotechnological-system approach in engineering practice and safety analysis.,,,,,6,full-text,ft_file=A sociotechnological-system approach to AI ethics.pdf; pilot=manual-review
P041,Exploring Research Trends in the Design and Optimization of Generative Artificial Intelligence Agent Systems Based on Human Value Alignment,"Song, J.; Cui, S.; Chen, D.; Li, Z.; Huang, D.; Xu, N.",2026,Proceedings of ISoIRS 2026 - Moving Towards Embodied Intelligence in the AI Age: 2026 6th International Symposium on Intelligent Robotics and Systems,10.1109/ISOIRS70157.2026.11545282,other,value alignment; robustness; ethics; capabilities,none,probability; logic; optimization,,not_applicable,no,related concept,4,,partially,,,,,,0,full-text,ft_file=Exploring Research Trends in the Design and Optimization of Generative Artificial Intelligence Agent Systems Based on Human Value Alignment.pdf
P042,"Can Large Language Models Govern Themselves? A Technical, Ethical, and Governance Perspective","Bouneffouf, D.",2026,WWW Companion 2026 - Companion Proceedings of the ACM Web Conference 2026,10.1145/3774905.3795091,empirical,value alignment; interpretability; robustness; governance; ethics,none,probability; optimization,,experiment,no,no,3,,yes,,,,,,0,full-text,"ft_file=Can Large Language Models Govern Themselves? A Technical, Ethical, and Governance Perspective.pdf"
P043,Human-Machine Moral Divergence,"Firt, E.",2026,The Palgrave Handbook on the Ethics of Artificial Intelligence,10.1007/978-3-032-15112-4_48,position,ethics; capabilities,none,none,,not_applicable,no,no,3,,yes,,,,,,0,abstract,
P044,Parallel Diffusion Solver via Residual Dirichlet Policy Optimization,"Wang, R.; Li, Z.; Zhu, B.; Yuan, L.; Zhang, H.; Yang, X.; Chang, X.; Zhang, C.",2026,IEEE Transactions on Pattern Analysis and Machine Intelligence,10.1109/TPAMI.2026.3692227,empirical,value alignment; robustness,dynamical systems,ODEs; probability; logic; optimization,,experiment,no,no,4,,no,,,,,,0,full-text,ft_file=Parallel Diffusion Solver via Residual Dirichlet Policy Optimization.pdf
P045,The Power of Stories: Narrative Priming in Networked Multi-Agent LLM Interactions,"Großmann, G.; Ivanova, L.; Poduru, S.L.; Tabrizian, M.; Mesabah, I.; Selby, D.A.; Vollmer, S.J.",2026,Lecture Notes in Computer Science,10.1007/978-3-032-09315-8_11,empirical,value alignment,none,none,,experiment,no,no,3,,no,,,,,,1,abstract,
P046,Multi-objective reinforcement learning for designing ethical multi-agent environments,"Rodriguez-Soto, M.; Lopez-Sanchez, M.; Rodriguez-Aguilar, J.A.",2025,Neural Computing and Applications,10.1007/s00521-023-08898-y,other,value alignment; robustness; ethics; capabilities,game theory,optimization,,not_applicable,yes,no,3,,partially,,,,,,3,full-text,ft_file=Multi-objective reinforcement learning for designing ethical multi-agent environments.pdf
P047,Quantitative Analysis Model for Multi-Component Gas Infrared Spectrum Based on the Transformer Structure,"Li, Z.",2026,Laser and Optoelectronics Progress,10.3788/LOP250829,empirical,value alignment; robustness,none,probability; optimization,,simulation,no,no,3,,yes,,,,,,1,abstract,
P048,Could We Control Superintelligent AI?,"Yampolskiy, R.V.",2026,Contemporary Debates in the Ethics of Artificial Intelligence,10.1002/9781394258840.ch19,empirical,value alignment,other,logic,,not_applicable,no,no,5,,no,,,,,,0,abstract,
P049,FGD-Align: Pluralistic Alignment for Large Language Models via Fuzzy Group Decision-Making,"Pan, W.; Yu, Z.; Wu, Y.; Liang, X.; Jin, Z.; Fu, Q.; Shang, P.; Lin, B.; He, X.; Ye, J.",2026,Proceedings of the AAAI Conference on Artificial Intelligence,10.1609/aaai.v40i21.38819,empirical,value alignment; interpretability; robustness; governance; ethics,decision theory,probability; optimization,,experiment,no,no,4,,no,,,,,,0,full-text,ft_file=FGD-Align: Pluralistic Alignment for Large Language Models via Fuzzy Group Decision-Making.pdf
P050,Reward Hacking Mitigation using Verifiable Composite Rewards,"Bin Tarek, M.F.; Beheshti, R.",2025,"BCB 2025 - Proceedings of the 16th ACM International Conference on Bioinformatics, Computational Biology, and Health Informatics",10.1145/3765612.3767230,empirical,value alignment; interpretability; robustness; ethics,none,probability; logic; optimization,,experiment,no,no,4,,no,,,,,,1,full-text,ft_file=Reward Hacking Mitigation using Verifiable Composite Rewards.pdf
P051,"They Do the Right Thing, Right? Large Language Models’ Decisions in Ethical Dilemmas Involving Robots","Yass-Coy, J.; Daniels, T.",2026,Lecture Notes in Computer Science,10.1007/978-3-032-30846-7_36,empirical,value alignment; ethics,none,none,,experiment,no,no,3,,no,,,,,,0,abstract,
P052,AI Alignment: The Case for Including Animals,"Tse, Y.F.; Moret, A.; Ziesche, S.; Singer, P.",2025,Philosophy and Technology,10.1007/s13347-025-00979-1,position,value alignment; ethics,none,none,,not_applicable,no,no,3,,no,,,,,,3,abstract,
P053,"A framework for evaluation of large language models in essay assessment: Reliability, alignment, and causal reasoning","Liu, T.; Ye, L.; Yan, W.",2026,Computers and Education: Artificial Intelligence,10.1016/j.caeai.2026.100565,empirical,value alignment; interpretability; robustness; ethics,none,probability; logic,,experiment,yes,related concept,4,,yes,,,,,,1,full-text,"ft_file=A framework for evaluation of large language models in essay assessment: Reliability, alignment, and causal reasoning.pdf"
P054,NP-Hard Lower Bound Complexity for Semantic Self-Verification,"Young, R.",2026,"EACL 2026 - 19th Conference of the European Chapter of the Association for Computational Linguistics, Proceedings of the Conference, Vol. 1 - (Long Papers)",10.18653/v1/2026.eacl-long.60,position,value alignment; interpretability; robustness; ethics; capabilities,decision theory; other,probability; logic,,not_applicable,no,no,3,,no,,,,,,0,full-text,ft_file=NP-Hard Lower Bound Complexity for Semantic Self-Verification.pdf
P055,"Procedural Compliance, Substantive Transgression: Uncovering How Alignment Failures in the Doubao System Drive Boundary Violations in Professional Contexts","Li, Z.; Xue, Y.; Qiao, Y.",2026,"2026 7th International Seminar on Artificial Intelligence, Networking and Information Technology, AINIT 2026",10.1109/AINIT70033.2026.11557612,empirical,value alignment; interpretability; robustness; governance; ethics,none,probability; logic; optimization,,analysis,yes,no,5,,yes,,,,,,0,full-text,"ft_file=Procedural Compliance, Substantive Transgression: Uncovering How Alignment Failures in the Doubao System Drive Boundary Violations in Professional.pdf"
P056,Thinking Forward and Backward: Multi-Objective Reinforcement Learning for Retrieval-Augmented Reasoning,"Wei, W.; Liu, Y.-A.; Zhang, R.; Guo, J.; Su, L.; Wang, S.; Yin, D.; de Rijke, M.; Cheng, X.",2026,Proceedings of the AAAI Conference on Artificial Intelligence,10.1609/aaai.v40i40.40675,empirical,value alignment; robustness; capabilities,information theory,probability; optimization,,experiment,no,no,4,,no,,,,,,0,full-text,ft_file=Thinking Forward and Backward: Multi-Objective Reinforcement Learning for Retrieval-Augmented Reasoning.pdf
P057,A Method of Heuristic Human-LLM Collaborative Source Search,"Yi, C.; Sihang, Q.; Zhengqiu, Z.; Yatai, J.; Yong, Z.; Rusheng, J.",2025,Xitong Fangzhen Xuebao / Journal of System Simulation,10.16182/j.issn1004731x.joss.25-FZ0646E,empirical,value alignment,none,probability; optimization,,experiment,no,no,3,,no,,,,,,,abstract,
P058,Exploring ‘Value Alignment’: A Genealogy and Three Conceptions,"López-Castro, D.",2026,"Law, Governance and Technology Series",10.1007/978-3-032-13063-1_11,other,value alignment; ethics,none,none,,not_applicable,no,no,4,,no,,,,,,0,abstract,
P059,Bidirectional transparency in human-agent communications: effects of direction and level of transparency,"Xu, X.; Yu, R.; Yuan, M.; Zheng, J.",2026,Ergonomics,10.1080/00140139.2025.2456535,empirical,interpretability,none,none,,experiment,no,no,3,,no,,,,,,4,abstract,
P060,Heterogeneous Value Alignment Evaluation for Large Language Models,"Zhang, Z.; Zhang, C.; Liu, N.; Qi, S.; Rong, Z.; Zhu, S.-C.; Yang, Y.",2026,Lecture Notes in Computer Science,10.1007/978-3-032-00800-8_34,other,value alignment; ethics; capabilities,decision theory,probability; optimization,,not_applicable,no,no,3,,no,,,,,,0,full-text,ft_file=Heterogeneous Value Alignment Evaluation for Large Language Models.pdf
P061,A Stance Benchmark for Evaluating Value Alignment in LLMs across Sensitive Domains,"Liu, Z.; Gao, Y.; Chen, B.; Zhao, X.",2026,"Proceedings of the 5th International Conference on Computer, Artificial Intelligence and Control Engineering, CAICE 2026",10.1145/3804601.3804671,empirical,value alignment; robustness; ethics,none,none,,experiment,no,no,3,,no,,,,,,0,abstract,
P062,"The phygital intelligence value experience (PHIVE) matrix: the good, the bad, and the ugly of AI marketing for customer experience design","Batat, W.",2026,Journal of Strategic Marketing,10.1080/0965254X.2026.2682414,other,value alignment; capabilities,none,none,,not_applicable,no,no,3,,no,,,,,,0,abstract,
P063,Communication Enables Cooperation in LLM Agents: A Comparison with Curriculum-Based Approaches,"Madmoun, H.; Lahlou, S.",2026,"EACL 2026 - 19th Conference of the European Chapter of the Association for Computational Linguistics, Proceedings of the Conference, Vol. 1 - (Long Papers)",10.18653/v1/2026.eacl-short.23,other,value alignment; robustness; ethics; capabilities,game theory,probability; optimization,,not_applicable,no,no,3,,partially,,,,,,0,full-text,ft_file=Communication Enables Cooperation in LLM Agents: A Comparison with Curriculum-Based Approaches.pdf
P064,Anthropomorphic traits and user loyalty: exploring the mediating role of perceived value in chatbot usage in China,"Xi, Y.; Deng, T.",2026,Information Communication and Society,10.1080/1369118X.2025.2557549,review,value alignment; ethics,none,optimization,,not_applicable,no,no,3,,no,,,,,,1,abstract,
P065,LA-EDPO: Length-Aware Effect-Enhanced Direct Preference Optimization,"Zhang, W.",2026,"2026 9th International Conference on Advanced Algorithms and Control Engineering, ICAACE 2026",10.1109/ICAACE69793.2026.11508785,empirical,value alignment; robustness; ethics; capabilities,information theory,probability; optimization,,experiment,no,no,5,,yes,,,,,,0,full-text,ft_file=LA-EDPO: Length-Aware Effect-Enhanced Direct Preference Optimization.pdf
