id,title,authors,year,doi,arxiv_id,abstract,keywords,source_db,journal,url,decision,reason_code,notes,stage
P02_0012,Similarity of Neural Network Models: A Survey of Functional and Representational Measures,Max Klabunde; Tobias Schumacher; Markus Strohmaier; Florian Lemmerich,2025,10.1145/3728458,,,"Deep learning, representational similarity, functional similarity",ACM:F2,,https://doi.org/10.1145/3728458,Exclude,E2,,title-excluded
P02_0013,Integrating Uncertainty Into Neural Network-Based Speech Enhancement,Huajian Fang; Dennis Becker; Stefan Wermter; Timo Gerkmann,2023,10.1109/taslp.2023.3265202,,,,ACM:F2,,https://doi.org/10.1109/TASLP.2023.3265202,Exclude,E2,,title-excluded
P02_0014,Quantization Meets OOD: Generalizable Quantization-aware Training from a Flatness Perspective,Jiacheng Jiang; Yuan Meng; Chen Tang; Han Yu; Qun Li; Zhi Wang; Wenwu Zhu,2025,10.1145/3746027.3755856,,,"freeze, ood, quantization, sam",ACM:F2,Proceedings of the 33rd ACM International Conference on Multimedia,https://doi.org/10.1145/3746027.3755856,Exclude,E2,,title-excluded
P02_0015,Spiking Graph Predictive Coding for Reliable OOD Generalization,Jing Ren; Jiapeng Du; Bowen Li; Ziqi Xu; Xin Zheng; Hong Jia; Suyu Ma; Xiwei Xu; Feng Xia,2026,10.1145/3774904.3793044,,,"trustworthy ai, uncertainty estimation, graph neural networks, ood detection, interpretability",ACM:F2,Proceedings of the ACM Web Conference 2026,https://doi.org/10.1145/3774904.3793044,Exclude,E2,,title-excluded
P02_0016,Don't Blind Your VLA: Aligning Visual Representations for OOD Generalization,Nikita Kachaev; Mikhail Kolosov; Daniil Zelezetsky; Alexey K. Kovalev; Aleksandr I. Panov,2026,10.65109/pper9186,,,"vla, vlm, representation alignment, robotics, generalization",ACM:F2,Proceedings of the 25th International Conference on Autonomous Agents and Multiagent Systems,https://doi.org/10.65109/PPER9186,Uncertain,,,abstract
P02_0017,Mitigating Dynamic Graph Distribution Shifts via Mixture of Variational Experts,Qianyu Song; Chao Li; Yeyu Yan; Hui Zhou; Zhongying Zhao; Qingtian Zeng,2026,10.1145/3774904.3792190,,,"graph representation learning, dynamic graph neural networks, distribution shifts, out-of-distribution generalization",ACM:F2,Proceedings of the ACM Web Conference 2026,https://doi.org/10.1145/3774904.3792190,Include,,,abstract
P02_0018,Human Heterogeneity Invariant Stress Sensing,Yi Xiao; Harshit Sharma; Sawinder Kaur; Dessa Bergen-Cico; Asif Salekin,2025,10.1145/3749465,,,"Neural network pruning, Out-of-Distribution Generalization, Stress Detection, Wearable Data",ACM:F2,,https://doi.org/10.1145/3749465,Uncertain,,,abstract
P02_0019,Graph Transformers for Query Plan Representation: Potentials and Challenges,Chenghao Lyu; Guillaume Lachaud; Gabriel Lozano; Yanlei Diao,2025,10.14778/3773731.3773745,,,,ACM:F2,,https://doi.org/10.14778/3773731.3773745,Exclude,E2,,title-excluded
P02_0020,ASTER: Adaptive Dynamic Layer-Skipping for Efficient Transformer Inference via Markov Decision Process,Fangxin Liu; Junjie Wang; Ning Yang; Zongwu Wang; Junping Zhao; Li Jiang; Haibing Guan,2025,10.1145/3746027.3755526,,,"knowledge distillation, layer skipping, transformer-based model",ACM:F2,Proceedings of the 33rd ACM International Conference on Multimedia,https://doi.org/10.1145/3746027.3755526,Exclude,E2,,title-excluded
P02_0021,Causality and Independence Enhancement for Biased Node Classification,Guoxin Chen; Yongqing Wang; Fangda Guo; Qinglang Guo; Jiangli Shao; Huawei Shen; Xueqi Cheng,2023,10.1145/3583780.3614804,,,"out-of-distribution generalization, node classification, graph neural networks",ACM:F2,Proceedings of the 32nd ACM International Conference on Information and Knowledge Management,https://doi.org/10.1145/3583780.3614804,Include,,,abstract
P02_0022,VPA: Fully Test-Time Visual Prompt Adaptation,Jiachen Sun; Mark Ibrahim; Melissa Hall; Ivan Evtimov; Z. Morley Mao; Cristian Canton Ferrer; Caner Hazirbas,2023,10.1145/3581783.3611835,,,"corruption robustness, domain adaptation, out-of-distribution generalization, test-time adaptation",ACM:F2,Proceedings of the 31st ACM International Conference on Multimedia,https://doi.org/10.1145/3581783.3611835,Exclude,E2,,title-excluded
P02_0023,Environment Agnostic Invariant Risk Minimization for Classification of Sequential Datasets,Praveen Venkateswaran; Vinod Muthusamy; Vatche Isahagian; Nalini Venkatasubramanian,2021,10.1145/3447548.3467324,,,"sequential prediction, robust models, out-of-distribution generalization",ACM:F2,Proceedings of the 27th ACM SIGKDD Conference on Knowledge Discovery &amp; Data Mining,https://doi.org/10.1145/3447548.3467324,Uncertain,,,abstract
P02_0024,PT-HMC: Optimization-based Pre-Training with Hamiltonian Monte-Carlo Sampling for Driver Intention Recognition,Koen Vellenga; Alexander Karlsson; H. Joe Steinhauer; Göran Falkman; Anders Sjögren,2024,10.1145/3688573,,,"Driver Intention Recognition, Probabilistic Deep Learning, Bayesian Deep Learning, Uncertainty quantification, Hamiltonian Monte Carlo",ACM:F2,,https://doi.org/10.1145/3688573,Exclude,E2,,title-excluded
P02_0025,Unbiased Semantic Representation Learning Based on Causal Disentanglement for Domain Generalization,Xuanyu Jin; Ni Li; Wanzeng Kong; Jiajia Tang; Bing Yang,2024,10.1145/3659953,,,"Transfer learning, domain generalization, disentangled representation, causal intervention, semantic representation",ACM:F2,,https://doi.org/10.1145/3659953,Exclude,E2,,title-excluded
P02_0026,PadNet: Defending Neural Networks Against Adversarial Examples,Armon Barton; Matthew Wright; Shaikh Akib Shahriyar; Edgar Jatho; Mohammad Saidur Rahman; Kantha Girish Gangadhara; Jiang Ming,2026,10.1145/3799889,,,"Secure machine learning, adversarial examples, deep learning",ACM:F2,,https://doi.org/10.1145/3799889,Exclude,E2,,title-excluded
P02_0027,SEW: Strengthening Robustness of Black-box DNN Watermarking via Specificity Enhancement,Huming Qiu; Mi Zhang; Junjie Sun; Peiyi Chen; Xiaohan Zhang; Min Yang,2026,10.1145/3770854.3780272,,,"intellectual property, digital watermark, deep learning",ACM:F2,Proceedings of the 32nd ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.1,https://doi.org/10.1145/3770854.3780272,Exclude,E2,,title-excluded
P02_0028,MORE: Multi-Organ Medical Image REconstruction Dataset,Shaokai Wu; Yapan Guo; Yanbiao Ji; Jing Tong; Yuxiang Lu; Mei Li; Suizhi Huang; Yue Ding; Hongtao Lu,2025,10.1145/3746027.3758233,,,"benchmark, computed tomography, ct reconstruction, medical image reconstruction, multi-organ dataset",ACM:F2,Proceedings of the 33rd ACM International Conference on Multimedia,https://doi.org/10.1145/3746027.3758233,Exclude,E2,,title-excluded
P02_0029,Test-Time Model Adaptation for Quantized Neural Networks,Zeshuai Deng; Guohao Chen; Shuaicheng Niu; Hui Luo; Shuhai Zhang; Yifan Yang; Renjie Chen; Wei Luo; Mingkui Tan,2025,10.1145/3746027.3754730,,,"domain knowledge management, quantized neural network, test-time adaptation, zeroth-order optimization",ACM:F2,Proceedings of the 33rd ACM International Conference on Multimedia,https://doi.org/10.1145/3746027.3754730,Exclude,E2,,title-excluded
P02_0030,MALeR: Improving Compositional Fidelity in Layout-Guided Generation,Shivank Saxena; Dhruv Srivastava; Makarand Tapaswi,2025,10.1145/3763341,,,"layout-guided text-to-image generation, subject-attribute binding, diffusion models, latent optimization",ACM:F2,,https://doi.org/10.1145/3763341,Exclude,E2,,title-excluded
P02_0031,Causal Disentangled Recommendation against User Preference Shifts,Wenjie Wang; Xinyu Lin; Liuhui Wang; Fuli Feng; Yunshan Ma; Tat-Seng Chua,2023,10.1145/3593022,,,"Causal disentangled recommendation, preference shifts, generalizable recommendation, out-of-distribution generalization",ACM:F2,,https://doi.org/10.1145/3593022,Uncertain,,,abstract
P02_0032,NILMBENCH2026: A Benchmark for Energy Disaggregation,Aayush Kuloor; Anurag Singh; Harsh Dhru; Nipun Batra,2026,10.1145/3744256.3812587,,,"Energy disaggregation, Non-intrusive load monitoring",ACM:F2,"Proceedings of the 13th ACM International Conference on Systems for Energy-Efficient Buildings, Cities, and Transportation",https://doi.org/10.1145/3744256.3812587,Uncertain,,,abstract
P02_0033,Normalized Space Alignment: A Versatile Metric for Representation Analysis,Danish Ebadulla; Aditya Gulati; Ambuj Singh,2025,10.1145/3711896.3737065,,,"dimensionality reduction, interpretability, local intrinsic dimensionality, representation alignment, similarity index",ACM:F2,Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2,https://doi.org/10.1145/3711896.3737065,Uncertain,,,abstract
P02_0034,Stereo-Fi: Free-Form 3D Reconstruction via Generatively Co-Trained Inverse RF Rendering,Xueqiang Han; Tianyue Zheng; Jun Luo,2026,10.1145/3774906.3802762,,,"RF sensing, 3D reconstruction, generative co-training.",ACM:F2,Proceedings of the 2026 ACM/IEEE International Conference on Embedded Artificial Intelligence and Sensing Systems,https://doi.org/10.1145/3774906.3802762,Uncertain,,,abstract
P02_0035,Universal Time-Series Representation Learning: A Survey,Patara Trirat; Yooju Shin; Junhyeok Kang; Youngeun Nam; Jihye Na; Minyoung Bae; Joeun Kim; Byunghyun Kim; Jae-Gil Lee,2026,10.1145/3817600,,,"Time series, representation learning, neural networks, temporal modeling",ACM:F2,,https://doi.org/10.1145/3817600,Exclude,E2,,title-excluded
P02_0036,Explainability for Large Language Models: A Survey,Haiyan Zhao; Hanjie Chen; Fan Yang; Ninghao Liu; Huiqi Deng; Hengyi Cai; Shuaiqiang Wang; Dawei Yin; Mengnan Du,2024,10.1145/3639372,,,"Explainability, interpretability, large language models",ACM:F2,,https://doi.org/10.1145/3639372,Exclude,E2,,title-excluded
P02_0037,Understanding Hallucinations in Large Visual and Language Models,Zheng Yi Ho; Siyuan Liang; Dacheng Tao,2026,10.1145/3811409,,,"Hallucination survey, AI hallucinations, large language models, large vision-language models, multimodal hallucinations, text-to-image diffusion models, hallucination taxonomy, hallucination root causes, MOWI framework, transformer architectures, generative model reliability.",ACM:F2,,https://doi.org/10.1145/3811409,Exclude,E2,,title-excluded
P02_0038,Test Optimization in DNN Testing: A Survey,Qiang Hu; Yuejun Guo; Xiaofei Xie; Maxime Cordy; Lei Ma; Mike Papadakis; Yves Le Traon,2024,10.1145/3643678,,,"Test optimization, DNN testing, low-labeling cost",ACM:F2,,https://doi.org/10.1145/3643678,Uncertain,,,abstract
P02_0039,InfoNCE is a Free Lunch for Semantically guided Graph Contrastive Learning,Zixu Wang; Bingbing Xu; Yige Yuan; Huawei Shen; Xueqi Cheng,2025,10.1145/3726302.3730007,,,"graph contrastive learning, graph representation learning, positive unlabeled learning",ACM:F2,Proceedings of the 48th International ACM SIGIR Conference on Research and Development in Information Retrieval,https://doi.org/10.1145/3726302.3730007,Exclude,E2,,title-excluded
P02_0040,Unveiling Code Pre-Trained Models: Investigating Syntax and Semantics Capacities,Wei Ma; Shangqing Liu; Mengjie Zhao; Xiaofei Xie; Wenhang Wang; Qiang Hu; Jie Zhang; Yang Liu,2024,10.1145/3664606,,,"Code model analysis, syntax and semantic encoding",ACM:F2,,https://doi.org/10.1145/3664606,Exclude,E2,,title-excluded
P02_0041,Sharpness-aware Federated Graph Learning,Ruiyu Li; Peige Zhao; Guangxia Li; Pengcheng Wu; Xingyu Gao; Zhiqiang Xu,2026,10.1145/3773966.3777989,,,"federated graph learning, sharpness-aware minimization, dimensional collapse","ACM:F2, Scopus:primary",Proceedings of the Nineteenth ACM International Conference on Web Search and Data Mining,https://doi.org/10.1145/3773966.3777989,Exclude,E2,,title-excluded
P02_0042,Physics-Informed Optical Kernel Regression Using Complex-Valued Neural Fields,Guojin Chen; Zehua Pei; Haoyu Yang; Yuzhe Ma; Bei Yu; Martin Wong,2025,10.1109/dac56929.2023.10247680,,,,"ACM:F2, IEEE:part1",Proceedings of the 60th Annual ACM/IEEE Design Automation Conference,https://doi.org/10.1109/DAC56929.2023.10247680,Exclude,E2,,title-excluded
P02_0043,"Model Merging in LLMs, MLLMs, and Beyond: Methods, Theories, Applications, and Opportunities",Enneng Yang; Li Shen; Guibing Guo; Xingwei Wang; Xiaochun Cao; Jie Zhang; Dacheng Tao,2026,10.1145/3787849,,,"Model merging, large language model, multimodal large language models, continual learning, multitask learning",ACM:F2,,https://doi.org/10.1145/3787849,Exclude,E2,,title-excluded
P02_0044,A Causal Explainable Guardrails for Large Language Models,Zhixuan Chu; Yan Wang; Longfei Li; Zhibo Wang; Zhan Qin; Kui Ren,2024,10.1145/3658644.3690217,,,"causal inference, explanation, large language model, safety, trustworthiness",ACM:F2,Proceedings of the 2024 on ACM SIGSAC Conference on Computer and Communications Security,https://doi.org/10.1145/3658644.3690217,Exclude,E2,,title-excluded
P02_0045,,Mohannad Elhamod; Jie Bu; Christopher Singh; Matthew Redell; Abantika Ghosh; Viktor Podolskiy; Wei-Cheng Lee; Anuj Karpatne,2022,10.1145/3530911,,,"Electromagnetic propagation, Ising model, ML, PGML, quantum physics",ACM:F2,,https://doi.org/10.1145/3530911,Uncertain,,,abstract
P02_0046,Deep Probabilistic Binary Embedding via Learning Reliable Uncertainty for Cross-Modal Retrieval,Kun Cheng; Qibing Qin; Wenfeng Zhang; Lei Huang; Jie Nie,2025,10.1145/3746027.3754811,,,"cross-modal retrieval, deep hashing, probabilistic embedding, uncertainty quantification",ACM:F2,Proceedings of the 33rd ACM International Conference on Multimedia,https://doi.org/10.1145/3746027.3754811,Exclude,E2,,title-excluded
P02_0047,Diversity-Enhanced Snapshot Ensembles: Improving Robustness via Diversity-Based Snapshot Selection,Kishan Rajdev; Hyung Jae Chang,2026,10.1145/3746467.3801503,,,"neural networks, uncertainty quantification, ensemble methods, snapshot ensemble, model diversity",ACM:F2,Proceedings of the 2026 ACM Southeast Conference,https://doi.org/10.1145/3746467.3801503,Exclude,E2,,title-excluded
P02_0048,Mitigating Distributed Backdoor Attack in Federated Learning Through Mode Connectivity,Kane Walter; Meisam Mohammady; Surya Nepal; Salil S. Kanhere,2024,10.1145/3634737.3637682,,,"federated learning, backdoor attack, mode connectivity",ACM:F2,Proceedings of the 19th ACM Asia Conference on Computer and Communications Security,https://doi.org/10.1145/3634737.3637682,Uncertain,,,abstract
P02_0049,Connecting Domains and Contrasting Samples: A Ladder for Domain Generalization,Tianxin Wei; Yifan Chen; Xinrui He; Wenxuan Bao; Jingrui He,2025,10.1145/3690624.3709280,,,"contrastive learning, domain generalization, pre-trained model anchoring",ACM:F2,Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.1,https://doi.org/10.1145/3690624.3709280,Exclude,E2,,title-excluded
P02_0050,Domain-Specific Risk Minimization for Domain Generalization,Yi-Fan Zhang; Jindong Wang; Jian Liang; Zhang Zhang; Baosheng Yu; Liang Wang; Dacheng Tao; Xing Xie,2023,10.1145/3580305.3599313,,,"test-time adaptation, domain generalization, adaptivity gap",ACM:F2,Proceedings of the 29th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,https://doi.org/10.1145/3580305.3599313,Exclude,E2,,title-excluded
P02_0051,Responsive DNN Adaptation for Video Analytics against Environment Shift via Hierarchical Mobile-Cloud Collaborations,Maozhe Zhao; Shengzhong Liu; Fan Wu; Guihai Chen,2025,10.1145/3715014.3722044,,,"video analytics, mobile computing, continuous learning",ACM:F2,Proceedings of the 23rd ACM Conference on Embedded Networked Sensor Systems,https://doi.org/10.1145/3715014.3722044,Uncertain,,,abstract
P02_0052,Dataset Pruning Using Early Exit Networks,Alperen Görmez; Erdem Koyuncu,2026,10.1145/3785502,,,"Dataset pruning, early exit networks",ACM:F2,,https://doi.org/10.1145/3785502,Exclude,E2,,title-excluded
P02_0053,Safe crossover of neural networks through neuron alignment,Thomas Uriot; Dario Izzo,2020,10.1145/3377930.3390197,,,"neuroevolution, genetic algorithms, crossover, competing conventions, canonical correlation analysis",ACM:F2,Proceedings of the 2020 Genetic and Evolutionary Computation Conference,https://doi.org/10.1145/3377930.3390197,Exclude,E2,,title-excluded
P02_0054,The Worst of Both Worlds: A Comparative Analysis of Errors in Learning from Data in Psychology and Machine Learning,Jessica Hullman; Sayash Kapoor; Priyanka Nanayakkara; Andrew Gelman; Arvind Narayanan,2022,10.1145/3514094.3534196,,,"science reform, replication, machine learning, generalizability",ACM:F2,"Proceedings of the 2022 AAAI/ACM Conference on AI, Ethics, and Society",https://doi.org/10.1145/3514094.3534196,Uncertain,,,abstract
P02_0055,A.I. Robustness: a Human-Centered Perspective on Technological Challenges and Opportunities,Andrea Tocchetti; Lorenzo Corti; Agathe Balayn; Mireia Yurrita; Philip Lippmann; Marco Brambilla; Jie Yang,2025,10.1145/3665926,,,"Artificial intelligence, robustness, human-centered AI, trustworthy AI",ACM:F2,,https://doi.org/10.1145/3665926,Uncertain,,,abstract
P02_0056,On The Impact of Machine Learning Randomness on Group Fairness,Prakhar Ganesh; Hongyan Chang; Martin Strobel; Reza Shokri,2023,10.1145/3593013.3594116,,,"evaluation, fairness, neural networks, randomness in training",ACM:F2,"Proceedings of the 2023 ACM Conference on Fairness, Accountability, and Transparency",https://doi.org/10.1145/3593013.3594116,Exclude,E2,,title-excluded
P02_0057,Trustworthy Transfer Learning: A Survey,Jun Wu; Jingrui He,2026,10.1613/jair.1.17602,,,,ACM:F2,,https://doi.org/10.1613/jair.1.17602,Exclude,E2,,title-excluded
P02_0058,A Survey of Model Inversion Attacks: An Interface-Prior Perspective,Haoyu Liu; Yuwen Chen; Zhen Yang,2026,10.1145/3789456.3789473,,,"model inversion attacks, privacy security, machine learning security",ACM:F2,Proceedings of the 2025 15th International Conference on Communication and Network Security,https://doi.org/10.1145/3789456.3789473,Uncertain,,,abstract
P02_0059,Large Language Model for Vulnerability Detection and Repair: Literature Review and the Road Ahead,Xin Zhou; Sicong Cao; Xiaobing Sun; David Lo,2025,10.1145/3708522,,,"Literature review, vulnerability detection, vulnerability repair, large language models",ACM:F2,,https://doi.org/10.1145/3708522,Exclude,E2,,title-excluded
P02_0060,AI Alignment: A Contemporary Survey,Jiaming Ji; Tianyi Qiu; Boyuan Chen; Jiayi Zhou; Borong Zhang; Donghai Hong; Hantao Lou; Kaile Wang; Yawen Duan; Zhonghao He; Lukas Vierling; Zhaowei Zhang; Fanzhi Zeng; Juntao Dai; Xuehai Pan; Hua Xu; Aidan O'Gara; Kwan Ng; Brian Tse; Jie Fu; Stephen Mcaleer; Yanfeng Wang; Mingchuan Yang; Yunhuai Liu; Yizhou Wang; Song-Chun Zhu; Yike Guo; Yaodong Yang; Wen Gao,2025,10.1145/3770749,,,"AI safety, AI alignment, learning from human feedback",ACM:F2,,https://doi.org/10.1145/3770749,Uncertain,,,abstract
P02_0061,MaGrIP: Magnitude and Gradient-Informed Pruning for Task-Agnostic Large Language Models,Uttej Kallakuri; Edward Humes; Hasib-Al Rashid; Tinoosh Mohsenin,2026,10.1145/3766068,,,"Large Language Models (LLMs), structured pruning, differentiable masking, task-agnostic pruning, quantization, energy-efficient inference",ACM:F2,,https://doi.org/10.1145/3766068,Exclude,E2,,title-excluded
P02_0062,Bayesian Parameter-Efficient Fine-Tuning for Overcoming Catastrophic Forgetting,Haolin Chen; Philip N. Garner,2024,10.1109/taslp.2024.3463395,,,,ACM:F2,,https://doi.org/10.1109/TASLP.2024.3463395,Exclude,E2,,title-excluded
P02_0063,Optimization-Free Test-Time Adaptation for Cross-Person Activity Recognition,Shuoyuan Wang; Jindong Wang; Huajun Xi; Bob Zhang; Lei Zhang; Hongxin Wei,2024,10.1145/3631450,,,"Human activity recognition, sensors, test-time adaptation, transfer learning",ACM:F2,,https://doi.org/10.1145/3631450,Exclude,E2,,title-excluded
P02_0064,Abstraction Alignment: Comparing Model-Learned and Human-Encoded Conceptual Relationships,Angie Boggust; Hyemin Bang; Hendrik Strobelt; Arvind Satyanarayan,2025,10.1145/3706598.3713406,,,"interpretability, human-AI alignment, visualization, abstraction",ACM:F2,Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,https://doi.org/10.1145/3706598.3713406,Uncertain,,,abstract
P02_0065,Generalized Incremental Learning under Concept Drift across Evolving Data Streams,En Yu; Jie Lu; Guangquan Zhang,2026,10.1145/3774904.3792379,,,"data streams, concept drift, incremental learning, adaptation",ACM:F2,Proceedings of the ACM Web Conference 2026,https://doi.org/10.1145/3774904.3792379,Exclude,E2,,title-excluded
P02_0066,A Survey of Dataset Refinement for Problems in Computer Vision Datasets,Zhijing Wan; Zhixiang Wang; Cheukting Chung; Zheng Wang,2024,10.1145/3627157,,,"Dataset refinement, data sampling, subset selection, active learning",ACM:F2,,https://doi.org/10.1145/3627157,Uncertain,,,abstract
P02_0067,Few-shot Vision-language Prompt Tuning of VLMs for On-road Object Detection,Minsoo Choi; Ravi Garg; Mohamed Moustafa; Tarun Bhatia; Amber Roy Chowdhury,2025,10.1145/3764919.3770873,,,"traffic sign detection, few-shot learning, vision language model, prompt representation learning",ACM:F2,Proceedings of the 4th ACM SIGSPATIAL International Workshop on Spatial Big Data and AI for Industrial Applications,https://doi.org/10.1145/3764919.3770873,Exclude,E2,,title-excluded
P02_0068,CatalaBlocks: A Block-Based Visual Tool for Programming the Law,Nicholas Michael Russo; Matthew Schmitt; Ananya Iyer; Jonggi Hong,2026,10.1145/3800645.3813091,,,"computational law, domain specific language, visual programming, block-based programming, legal informatics, legal expert systems",ACM:F2,Proceedings of the 2026 Designing Interactive Systems Conference,https://doi.org/10.1145/3800645.3813091,Exclude,E1,,title-excluded
P02_0069,Uniformly Distributed Category Prototype-Guided Vision-Language Framework for Long-Tail Recognition,Xiaoxuan He; Siming Fu; Xinpeng Ding; Yuchen Cao; Hualiang Wang,2023,10.1145/3581783.3611904,,,"irrelevant text filter, long-tailed learning, uniformly distributed, vision-language framework",ACM:F2,Proceedings of the 31st ACM International Conference on Multimedia,https://doi.org/10.1145/3581783.3611904,Uncertain,,,abstract
P02_0070,Learning Discriminative Representations and Decision Boundaries for Open Intent Detection,Hanlei Zhang; Hua Xu; Shaojie Zhao; Qianrui Zhou,2023,10.1109/taslp.2023.3265203,,,,ACM:F2,,https://doi.org/10.1109/TASLP.2023.3265203,Exclude,E2,,title-excluded
P02_0071,A Survey of Multilingual Neural Machine Translation,Raj Dabre; Chenhui Chu; Anoop Kunchukuttan,2020,10.1145/3406095,,,"zero-shot, survey, multilingualism, multi-source, low-resource, Neural machine translation",ACM:F2,,https://doi.org/10.1145/3406095,Uncertain,,,abstract
P02_0072,Contrastive Curriculum Learning for Sequential User Behavior Modeling via Data Augmentation,Shuqing Bian; Wayne Xin Zhao; Kun Zhou; Jing Cai; Yancheng He; Cunxiang Yin; Ji-Rong Wen,2021,10.1145/3459637.3481905,,,"user behavior modeling, contrastive curriculum learning",ACM:F2,Proceedings of the 30th ACM International Conference on Information &amp; Knowledge Management,https://doi.org/10.1145/3459637.3481905,Uncertain,,,abstract
P02_0073,Efficient Knowledge Graph Unlearning with Zeroth-order Information,Yang Xiao; Ruimeng Ye; Bohan Liu; Xiaolong Ma; Bo Hui,2025,10.1145/3746252.3761379,,,"influence function, knowledge graph, zeroth optimization",ACM:F2,Proceedings of the 34th ACM International Conference on Information and Knowledge Management,https://doi.org/10.1145/3746252.3761379,Uncertain,,,abstract
P02_0074,Cacophony: An Improved Contrastive Audio-Text Model,Ge Zhu; Jordan Darefsky; Zhiyao Duan,2024,10.1109/taslp.2024.3485170,,,,ACM:F2,,https://doi.org/10.1109/TASLP.2024.3485170,Uncertain,,,abstract
